Step,BathTUB,Python-DTU
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,50000
16,50000,50000
17,50000,50000
18,50000,50000
19,50000,50000
20,50000,50000
21,50000,50000
22,50000,50000
23,50000,50000
24,50000,50000
25,50000,50000
26,50000,50000
27,50000,50000
28,50000,50000
29,50000,46707
30,50000,46707
31,50000,46707
32,50000,46707
33,50000,46707
34,50000,46707
35,50000,46707
36,50000,46707
37,50000,46707
38,50000,46707
39,50000,46707
40,50000,46707
41,50000,46707
42,50000,46707
43,50000,46707
44,50000,46707
45,50000,46707
46,50000,46707
47,50000,46707
48,50000,46707
49,50000,46707
50,50000,46707
51,50000,46707
52,50000,46707
53,50000,46707
54,50000,46707
55,50000,46707
56,50000,46707
57,50000,46707
58,50000,46707
59,50000,46707
60,50000,46707
61,50000,46707
62,50000,46707
63,50000,46707
64,50000,46707
65,50000,46707
66,50000,46707
67,50000,46707
68,50000,46707
69,50000,46707
70,50000,46707
71,50000,46707
72,50000,46707
73,50000,46707
74,50000,46707
75,50000,46707
76,50000,46707
77,50000,46707
78,50000,46707
79,50000,46707
80,50000,46707
81,50000,46707
82,50000,46707
83,50000,46707
84,50000,46707
85,50000,46707
86,50000,46707
87,50000,46707
88,50000,46707
89,50000,46707
90,50000,46707
91,50000,46707
92,50000,46707
93,50000,46707
94,50000,46707
95,50000,46707
96,50000,46707
97,50000,46707
98,50000,46707
99,50000,46707
100,50000,46707
101,50000,46707
102,50000,46707
103,50000,46707
104,50000,46707
105,50000,46707
106,50000,46707
107,50000,46707
108,50000,46707
109,50000,46707
110,50000,46707
111,50000,46707
112,50000,46707
113,50000,46707
114,50000,46707
115,50000,46707
116,50000,46707
117,50000,46707
118,50000,46707
119,50000,46707
120,50000,46707
121,50000,46707
122,50000,46707
123,50000,46707
124,50000,46707
125,50000,46707
126,50000,46707
127,50000,46707
128,50000,46707
129,50000,46707
130,50000,46707
131,50000,46707
132,50000,46707
133,50000,46707
134,50000,46707
135,50000,46707
136,50000,46707
137,50000,46707
138,50000,46707
139,50000,46707
140,50000,46707
141,50000,46707
142,50000,46707
143,50000,46707
144,50000,46707
145,50000,46707
146,50000,46707
147,50000,46707
148,50000,46707
149,50000,46707
150,50000,46707
151,50000,46707
152,50000,46707
153,50000,46707
154,50000,46707
155,50000,46707
156,50000,46707
157,50000,46707
158,50000,46707
159,50000,46707
160,50000,46707
161,50000,46707
162,50000,46707
163,50000,46707
164,50000,46707
165,50000,46707
166,50000,46707
167,50000,46707
168,50000,46707
169,50000,46707
170,50000,46707
171,50000,46707
172,50000,46707
173,50000,46707
174,50000,46707
175,50000,46707
176,50000,46707
177,50000,46707
178,50000,46707
179,50000,46707
180,50000,46707
181,50000,46707
182,50000,46707
183,50000,46707
184,50000,46707
185,50000,46707
186,50000,46707
187,50000,46707
188,50000,46707
189,50000,46707
190,50000,46707
191,50000,46707
192,50000,46707
193,50000,46707
194,50000,46707
195,50000,46707
196,50000,46707
197,50000,46707
198,50000,46707
199,50000,46707
200,50000,46707
201,50000,46707
202,50000,46707
203,50000,46707
204,50000,46707
205,50000,46707
206,50000,46707
207,50000,46707
208,50000,46707
209,50000,46707
210,50000,46707
211,50000,46707
212,50000,46707
213,50000,46707
214,50000,46707
215,50000,46707
216,50000,46707
217,50000,46707
218,50000,46707
219,50000,46707
220,50000,46707
221,50000,46707
222,50000,46707
223,50000,46707
224,50000,46707
225,50000,46707
226,50000,46707
227,50000,46707
228,50000,46707
229,50000,46707
230,50000,46707
231,50000,46707
232,50000,46707
233,50000,46707
234,50000,46707
235,50000,46707
236,50000,46707
237,50000,46707
238,50000,46707
239,50000,46707
240,50000,46707
241,50000,46707
242,50000,46707
243,50000,46707
244,50000,46707
245,50000,46707
246,50000,46707
247,50000,46707
248,50000,46707
249,50000,46707
250,50000,46707
251,50000,46707
252,50000,46707
253,50000,46707
254,50000,46707
255,50000,46707
256,50000,46707
257,50000,46707
258,50000,46707
259,50000,46707
260,50000,46707
261,50000,46707
262,50000,46707
263,50000,46707
264,50000,46707
265,50000,46707
266,50000,46707
267,50000,46707
268,50000,46707
269,50000,46707
270,50000,46707
271,50000,46707
272,50000,46707
273,50000,46707
274,50000,46707
275,50000,46707
276,50000,46707
277,50000,46707
278,50000,46707
279,50000,46707
280,50000,46707
281,50000,46707
282,50000,46707
283,50000,46707
284,50000,46707
285,50000,46707
286,50000,46707
287,50000,46707
288,50000,46707
289,50000,46707
290,50000,46707
291,50000,46707
292,50000,46707
293,50000,46707
294,50000,46707
295,50000,46707
296,50000,46707
297,50000,46707
298,50000,46707
299,50000,46707
300,50000,46707
301,50000,46707
302,50000,46707
303,50000,46707
304,50000,46707
305,50000,46707
306,50000,46707
307,50000,46707
308,50000,46707
309,50000,46707
310,50000,46707
311,50000,46707
312,50000,46652
313,50000,46597
314,50000,46542
315,50000,46487
316,50000,46432
317,50000,46407
318,50000,46352
319,50000,46297
320,50000,46242
321,50000,46187
322,50000,46132
323,50000,46077
324,50000,46022
325,50000,45967
326,50000,45912
327,50000,45857
328,50000,45802
329,50000,44034
330,50000,43979
331,50000,41243
332,50000,41243
333,50000,41243
334,50000,41243
335,50000,41243
336,50000,41243
337,50000,41243
338,50000,41243
339,50000,41126
340,50000,41009
341,50000,40973
342,50000,40973
343,50000,40973
344,50000,40973
345,50000,40973
346,50000,40973
347,50000,40973
348,50000,40973
349,50000,40973
350,50000,40973
351,50000,40973
352,50000,40973
353,50000,40973
354,50000,40973
355,50000,40973
356,50000,40973
357,50000,40973
358,50000,40973
359,50000,40973
360,50000,40973
361,50000,40973
362,50000,40973
363,50000,40973
364,50000,40973
365,50000,40973
366,50000,40973
367,50000,40973
368,50000,40973
369,50000,40973
370,50000,40973
371,50000,40973
372,50000,40973
373,50000,40973
374,50000,40973
375,50000,40973
376,50000,40973
377,50000,40918
378,50000,40863
379,50000,40808
380,50000,40753
381,50000,40733
382,50000,40733
383,50000,40733
384,50000,40733
385,50000,40733
386,50000,40733
387,50000,40733
388,50000,40733
389,50000,40733
390,50000,40733
391,50000,40733
392,50000,40733
393,50000,40733
394,50000,40733
395,50000,40733
396,50000,40733
397,50000,40733
398,50000,40733
399,50000,40733
400,50000,40733
401,50000,40733
402,50000,40733
403,50000,40733
404,50000,40733
405,50000,40733
406,50000,40733
407,50000,40733
408,50000,40733
409,50000,40733
410,50000,40733
411,50000,40733
412,50000,40733
413,50000,40733
414,50000,40678
415,50000,40623
416,50000,40568
417,50000,40513
418,50000,40458
419,50000,40413
420,50000,40413
421,50000,40413
422,50000,40413
423,50000,40413
424,50000,40413
425,50000,40413
426,50000,40413
427,50000,40413
428,50000,40413
429,50000,40413
430,50000,40413
431,50000,40413
432,50000,40413
433,50000,40413
434,50000,40413
435,50000,40413
436,50000,40413
437,50000,40413
438,50000,40413
439,50000,40413
440,50000,40413
441,50000,40413
442,50000,40413
443,50000,40413
444,50000,40413
445,50000,40413
446,50000,40413
447,50000,40413
448,50000,40413
449,50000,40413
450,50000,40413
451,50000,40413
452,50000,40413
453,50000,40413
454,50000,40413
455,50000,40413
456,50000,40413
457,50000,40413
458,50000,40413
459,50000,40413
460,50000,40413
461,50000,40413
462,50000,40413
463,50000,40413
464,50000,40413
465,50000,40413
466,50000,40413
467,50000,40413
468,50000,40413
469,50000,40413
470,50000,40413
471,50000,40413
472,50000,40413
473,50000,40413
474,50000,40413
475,50000,40413
476,50000,40413
477,50000,40413
478,50000,40413
479,50000,40413
480,50000,40413
481,50000,40413
482,50000,40413
483,50000,40413
484,50000,40413
485,50000,40413
486,50000,40413
487,50000,40413
488,50000,40413
489,50000,40413
490,50000,40413
491,50000,40413
492,50000,40413
493,50000,40413
494,50000,40413
495,50000,40413
496,50000,40413
497,50000,40413
498,50000,39799
499,50000,39799
500,50000,39799
501,50000,39799
502,50000,39799
503,50000,39799
504,50000,39799
505,50000,39799
506,50000,39799
507,50000,39799
508,50000,39799
509,50000,39739
510,50000,39679
511,50000,39619
512,50000,39559
513,50000,39499
514,50000,39439
515,50000,39379
516,50000,39319
517,50000,39259
518,50000,39199
519,50000,39139
520,50000,39079
521,50000,39019
522,50000,38959
523,50000,38919
524,50000,38919
525,50000,38919
526,50000,38919
527,50000,38919
528,50000,38919
529,50000,38919
530,50000,38919
531,50000,38919
532,50000,38919
533,50000,38919
534,50000,38919
535,50000,38919
536,50000,38919
537,50000,38919
538,50000,38919
539,50000,38919
540,50000,38919
541,50000,38919
542,50000,38919
543,50000,38919
544,50000,38919
545,50000,38919
546,50000,38919
547,50000,38919
548,50000,38919
549,50000,38919
550,50000,38919
551,50000,38919
552,50000,38919
553,50000,38919
554,50000,38919
555,50000,38919
556,50000,38919
557,50000,38919
558,50000,38919
559,50000,38919
560,50000,38919
561,50000,38919
562,50000,38919
563,50000,38919
564,50000,38919
565,50000,38919
566,50000,38919
567,50000,38919
568,50000,38919
569,50000,38919
570,50000,38919
571,50000,38919
572,50000,38919
573,50000,38919
574,50000,38919
575,50000,38919
576,50000,38919
577,50000,38919
578,50000,38919
579,50000,38919
580,50000,38919
581,50000,38919
582,50000,38919
583,50000,38919
584,50000,38919
585,50000,38919
586,50000,38919
587,50000,38919
588,50000,38919
589,50000,38919
590,50000,38919
591,50000,38919
592,50000,38919
593,50000,38919
594,50000,38919
595,50000,38919
596,50000,38919
597,50000,38919
598,50000,38919
599,50000,38919
600,50000,38919
601,50000,38919
602,50000,38919
603,50000,38919
604,50000,38919
605,50000,38919
606,50000,38919
607,50000,38919
608,50000,38919
609,50000,38919
610,50000,38919
611,50000,38919
612,50000,38919
613,50000,38919
614,50000,38919
615,50000,38919
616,50000,38919
617,50000,38919
618,50000,38919
619,50000,38919
620,50000,38919
621,50000,38919
622,50000,38919
623,50000,38919
624,50000,38919
625,50000,38919
626,50000,38919
627,50000,38919
628,50000,38919
629,50000,38919
630,50000,38919
631,50000,38919
632,50000,38919
633,50000,38919
634,50000,38919
635,50000,38919
636,50000,38919
637,50000,38919
638,50000,38919
639,50000,38919
640,50000,38919
641,50000,38919
642,50000,38919
643,50000,38919
644,50000,38919
645,50000,38919
646,50000,38919
647,50000,38919
648,50000,38919
649,50000,38919
650,50000,38919
651,50000,38919
652,50000,38919
653,50000,38919
654,50000,38919
655,50000,38919
656,50000,38919
657,50000,38919
658,50000,38919
659,50000,38919
660,50000,38919
661,50000,38919
662,50000,38919
663,50000,38919
664,50000,38919
665,50000,38919
666,50000,38919
667,50000,38919
668,50000,38919
669,50000,38919
670,50000,38919
671,50000,38919
672,50000,38919
673,50000,38919
674,50000,38919
675,50000,38919
676,50000,38919
677,50000,38919
678,50000,38919
679,50000,38919
680,50000,38919
681,50000,38919
682,50000,38919
683,50000,38919
684,50000,38919
685,50000,38919
686,50000,38919
687,50000,38919
688,50000,38919
689,50000,38919
690,50000,38919
691,50000,38919
692,50000,38919
693,50000,38919
694,50000,38919
695,50000,38919
696,50000,38919
697,50000,38919
698,50000,38919
699,50000,38919
700,50000,38919
701,50000,38919
702,50000,38919
703,50000,38919
704,50000,38919
705,50000,38919
706,50000,38919
707,50000,38919
708,50000,38919
709,50000,38919
710,50000,38919
711,50000,38919
712,50000,38919
713,50000,38919
714,50000,38919
715,50000,38919
716,50000,38919
717,50000,38919
718,50000,38919
719,50000,38919
720,50000,38919
721,50000,38919
722,50000,38919
723,50000,38919
724,50000,38919
725,50000,38919
726,50000,38919
727,50000,38919
728,50000,38919
729,50000,38919
730,50000,38919
731,50000,38919
732,50000,38919
733,50000,38919
734,50000,38919
735,50000,38919
736,50000,38919
737,50000,38919
738,50000,38919
739,50000,38919
740,50000,38919
741,50000,38919
742,50000,38919
743,50000,38919
744,50000,38919
745,50000,38919
746,50000,38919
747,50000,38919
748,50000,38919
749,50000,38919
750,50000,38919
751,50000,38919
752,50000,38919
753,50000,38919
754,50000,38919
755,50000,38919
756,50000,38919
757,50000,38919
758,50000,38919
759,50000,38919
760,50000,38919
761,50000,38919
762,50000,38919
763,50000,38919
764,50000,38919
765,50000,38919
766,50000,38919
767,50000,38919
768,50000,38919
769,50000,38919
770,50000,38919
771,50000,38919
772,50000,38919
773,50000,38919
774,50000,38919
775,50000,38919
776,50000,38919
777,50000,38919
778,50000,38919
779,50000,38919
780,50000,38919
781,50000,38919
782,50000,38919
783,50000,38919
784,50000,38919
785,50000,38919
786,50000,38919
787,50000,38919
788,50000,38919
789,50000,38919
790,50000,38919
791,50000,38919
792,50000,38919
793,50000,38919
794,50000,38919
795,50000,38919
796,50000,38919
797,50000,38919
798,50000,38919
799,50000,38919
800,50000,38919
801,50000,38919
802,50000,38919
803,50000,38919
804,50000,38919
805,50000,38919
806,50000,38919
807,50000,38919
808,50000,38919
809,50000,38919
810,50000,38919
811,50000,38919
812,50000,38919
813,50000,38919
814,50000,38919
815,50000,38919
816,50000,38919
817,50000,38919
818,50000,38919
819,50000,38919
820,50000,38919
821,50000,38919
822,50000,38919
823,50000,38919
824,50000,38919
825,50000,38919
826,50000,38919
827,50000,38919
828,50000,38919
829,50000,38919
830,50000,38919
831,50000,38919
832,50000,38919
833,50000,38919
834,50000,38919
835,50000,38919
836,50000,38919
837,50000,38919
838,50000,38919
839,50000,38919
840,50000,38919
841,50000,38919
842,50000,38919
843,50000,38919
844,50000,38919
845,50000,38919
846,50000,38919
847,50000,38919
848,50000,38919
849,50000,38919
850,50000,38919
851,50000,38919
852,50000,38919
853,50000,38919
854,50000,38919
855,50000,38919
856,50000,38919
857,50000,38919
858,50000,38919
859,50000,38919
860,50000,38919
861,50000,38919
862,50000,38919
863,50000,38919
864,50000,38919
865,50000,38919
866,50000,38919
867,50000,38919
868,50000,38919
869,50000,38919
870,50000,38919
871,50000,38919
872,50000,38919
873,50000,38919
874,50000,38919
875,50000,38919
876,50000,38919
877,50000,38919
878,50000,38919
879,50000,38919
880,50000,38919
881,50000,38919
882,50000,38919
883,50000,38919
884,50000,38919
885,50000,38919
886,50000,38919
887,50000,38919
888,50000,38919
889,50000,38919
890,50000,38919
891,50000,38919
892,50000,38919
893,50000,38919
894,50000,38919
895,50000,38919
896,50000,38919
897,50000,38919
898,50000,38919
899,50000,38919
900,50000,38919
901,50000,38919
902,50000,38919
903,50000,38919
904,50000,38919
905,50000,38919
906,50000,38919
907,50000,38919
908,50000,38919
909,50000,38919
910,50000,38919
911,50000,38919
912,50000,38919
913,50000,38919
914,50000,38919
915,50000,38919
916,50000,38919
917,50000,38919
918,50000,38919
919,50000,38919
920,50000,38919
921,50000,38919
922,50000,38919
923,50000,38919
924,50000,38919
925,50000,38919
926,50000,38919
927,50000,38919
928,50000,38919
929,50000,38919
930,50000,38919
931,50000,38919
932,50000,38919
933,50000,38919
934,50000,38919
935,50000,38919
936,50000,38919
937,50000,38919
938,50000,38919
939,50000,38919
940,50000,38919
941,50000,38919
942,50000,38919
943,50000,38919
944,50000,38919
945,50000,38919
946,50000,38919
947,50000,38919
948,50000,38919
949,50000,38919
950,50000,38919
951,50000,38919
952,50000,38919
953,50000,38919
954,50000,38919
955,50000,38919
956,50000,38919
957,50000,38919
958,50000,38919
959,50000,38919
960,50000,38919
961,50000,38919
962,50000,38919
963,50000,38919
964,50000,38919
965,50000,38919
966,50000,38919
967,50000,38919
968,50000,38919
969,50000,38919
970,50000,38919
971,50000,38919
972,50000,38919
973,50000,38919
974,50000,38919
975,50000,38919
976,50000,38919
977,50000,38919
978,50000,38919
979,50000,38919
980,50000,38919
981,50000,38919
982,50000,38919
983,50000,38919
984,50000,38919
985,50000,38919
986,50000,38919
987,50000,38919
988,50000,38919
989,50000,38919
990,50000,38919
991,50000,38919
992,50000,38919
993,50000,38919
994,50000,38919
995,50000,38919
996,50000,38919
997,50000,38919
998,50000,38919
999,50000,38919
1000,50000,38919
