Step,BathTUB,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,40213
16,50000,16132
17,50000,14595
18,50000,14595
19,50000,14595
20,50000,14595
21,50000,14595
22,50000,14595
23,50000,14595
24,50000,14595
25,50000,10530
26,50000,10530
27,50000,10530
28,50000,10530
29,50000,10530
30,50000,10479
31,50000,-134198
32,50000,-134249
33,50000,-134296
34,50000,-134296
35,50000,-134296
36,50000,-134347
37,50000,-134398
38,50000,-134449
39,50000,-134500
40,50000,-134551
41,50000,-134566
42,50000,-134566
43,50000,-134566
44,50000,-134566
45,50000,-134566
46,50000,-134617
47,50000,-134668
48,50000,-134719
49,50000,-134770
50,50000,-134821
51,50000,-134872
52,50000,-134923
53,50000,-134956
54,50000,-134956
55,50000,-134956
56,50000,-134956
57,50000,-134956
58,50000,-134956
59,50000,-134956
60,50000,-134956
61,50000,-134956
62,50000,-134956
63,50000,-134956
64,50000,-279582
65,50000,-279582
66,50000,-279582
67,50000,-279582
68,50000,-279582
69,50000,-279582
70,50000,-279582
71,50000,-279582
72,50000,-279582
73,50000,-279582
74,50000,-279582
75,50000,-279582
76,50000,-279582
77,50000,-279582
78,50000,-279582
79,50000,-279582
80,50000,-279582
81,50000,-279582
82,50000,-279582
83,50000,-279582
84,50000,-279582
85,50000,-279582
86,50000,-279582
87,50000,-279582
88,50000,-279582
89,50000,-279582
90,50000,-279582
91,50000,-279582
92,50000,-279582
93,50000,-279582
94,50000,-279582
95,50000,-279582
96,50000,-279582
97,50000,-279582
98,50000,-279582
99,50000,-279582
100,50000,-279582
101,50000,-279582
102,50000,-279582
103,50000,-279582
104,50000,-279582
105,50000,-279582
106,50000,-279633
107,50000,-279684
108,50000,-279735
109,50000,-279840
110,50000,-279945
111,50000,-280050
112,50000,-280155
113,50000,-280260
114,50000,-280365
115,50000,-280470
116,50000,-280575
117,50000,-280680
118,50000,-280785
119,50000,-280890
120,50000,-280995
121,50000,-281100
122,50000,-281205
123,50000,-281310
124,50000,-281406
125,50000,-281460
126,50000,-281462
127,50000,-281462
128,50000,-281462
129,50000,-281462
130,50000,-281462
131,50000,-281462
132,50000,-281462
133,50000,-281462
134,50000,-281462
135,50000,-281462
136,50000,-281462
137,50000,-281462
138,50000,-281462
139,50000,-281462
140,50000,-281462
141,50000,-281462
142,50000,-281462
143,50000,-281462
144,50000,-281462
145,50000,-281462
146,50000,-281462
147,50000,-281462
148,50000,-281462
149,50000,-34268
150,50000,-34268
151,50000,-34268
152,50000,-34268
153,50000,-34268
154,50000,-34268
155,50000,197527
156,50000,197527
157,50000,197527
158,50000,197527
159,50000,197527
160,50000,197527
161,50000,197527
162,50000,197527
163,50000,197527
164,50000,197527
165,50000,197527
166,50000,197407
167,50000,197337
168,50000,197337
169,50000,197337
170,50000,194657
171,50000,193108
172,50000,193108
173,50000,193108
174,50000,193108
175,50000,192316
176,50000,192196
177,50000,192136
178,50000,192136
179,50000,192136
180,50000,192136
181,50000,192136
182,50000,192077
183,50000,192018
184,50000,191959
185,50000,170768
186,50000,170717
187,50000,170357
188,50000,170306
189,50000,170255
190,50000,170204
191,50000,170153
192,50000,170069
193,50000,169999
194,50000,169929
195,50000,167379
196,50000,167379
197,50000,167379
198,50000,167379
199,50000,167379
200,50000,167379
201,50000,167379
202,50000,174977
203,50000,174977
204,50000,174977
205,50000,174977
206,50000,174977
207,50000,174977
208,50000,174977
209,50000,174977
210,50000,174977
211,50000,174977
212,50000,174977
213,50000,174977
214,50000,174977
215,50000,174977
216,50000,174977
217,50000,174907
218,50000,174558
219,50000,174518
220,50000,174518
221,50000,174518
222,50000,174518
223,50000,174448
224,50000,174378
225,50000,174308
226,50000,174238
227,50000,174188
228,50000,157433
229,50000,157433
230,50000,12807
231,50000,12807
232,50000,12807
233,50000,12807
234,50000,12807
235,50000,12807
236,50000,12807
237,50000,12807
238,50000,12807
239,50000,12807
240,50000,12807
241,50000,-11495
242,50000,-11635
243,50000,-11665
244,50000,-11665
245,50000,-11665
246,50000,-11665
247,50000,-11665
248,50000,-11665
249,50000,-11665
250,50000,-11665
251,50000,253737
252,50000,253737
253,50000,253594
254,50000,253451
255,50000,253437
256,50000,253437
257,50000,253437
258,50000,253437
259,50000,253437
260,50000,253437
261,50000,253437
262,50000,253112
263,50000,253042
264,50000,252921
265,50000,252800
266,50000,252709
267,50000,252662
268,50000,251043
269,50000,250973
270,50000,250903
271,50000,250873
272,50000,250873
273,50000,250873
274,50000,250873
275,50000,250873
276,50000,250873
277,50000,250873
278,50000,250873
279,50000,250873
280,50000,250873
281,50000,250873
282,50000,307340
283,50000,307340
284,50000,307340
285,50000,307340
286,50000,307340
287,50000,307340
288,50000,307340
289,50000,298132
290,50000,298132
291,50000,298132
292,50000,298132
293,50000,298132
294,50000,298132
295,50000,298132
296,50000,298132
297,50000,298132
298,50000,297989
299,50000,297846
300,50000,297791
301,50000,297689
302,50000,297533
303,50000,297391
304,50000,297286
305,50000,297212
306,50000,297212
307,50000,297212
308,50000,297212
309,50000,296390
310,50000,294853
311,50000,294578
312,50000,285370
313,50000,285370
314,50000,285370
315,50000,285370
316,50000,285370
317,50000,285370
318,50000,285370
319,50000,285370
320,50000,285370
321,50000,285227
322,50000,285084
323,50000,285020
324,50000,302618
325,50000,302567
326,50000,302376
327,50000,302265
328,50000,302248
329,50000,302248
330,50000,302248
331,50000,302248
332,50000,302248
333,50000,302248
334,50000,302248
335,50000,302248
336,50000,302248
337,50000,302248
338,50000,302248
339,50000,302197
340,50000,302146
341,50000,285340
342,50000,285219
343,50000,285103
344,50000,285033
345,50000,266484
346,50000,266484
347,50000,266484
348,50000,266484
349,50000,266484
350,50000,266484
351,50000,266484
352,50000,266484
353,50000,266209
354,50000,249314
355,50000,104321
356,50000,104321
357,50000,104321
358,50000,104321
359,50000,104321
360,50000,104321
361,50000,104321
362,50000,104321
363,50000,104321
364,50000,104321
365,50000,104321
366,50000,104219
367,50000,104117
368,50000,104015
369,50000,103941
370,50000,103941
371,50000,103801
372,50000,103661
373,50000,103611
374,50000,103611
375,50000,103611
376,50000,103560
377,50000,103509
378,50000,103458
379,50000,103411
380,50000,103411
381,50000,102911
382,50000,102911
383,50000,102911
384,50000,102911
385,50000,102911
386,50000,102911
387,50000,102911
388,50000,102911
389,50000,102411
390,50000,102411
391,50000,102411
392,50000,102411
393,50000,102411
394,50000,102411
395,50000,140946
396,50000,140946
397,50000,140946
398,50000,140946
399,50000,140946
400,50000,140946
401,50000,140946
402,50000,140946
403,50000,140946
404,50000,138357
405,50000,138357
406,50000,138357
407,50000,138357
408,50000,123610
409,50000,123470
410,50000,119265
411,50000,119155
412,50000,119095
413,50000,119025
414,50000,118955
415,50000,118885
416,50000,118835
417,50000,118835
418,50000,118835
419,50000,118835
420,50000,118781
421,50000,118727
422,50000,118673
423,50000,118619
424,50000,118506
425,50000,118417
426,50000,118358
427,50000,118299
428,50000,118240
429,50000,118181
430,50000,118145
431,50000,118145
432,50000,118145
433,50000,93983
434,50000,93983
435,50000,93983
436,50000,93983
437,50000,378021
438,50000,378021
439,50000,378021
440,50000,378021
441,50000,378021
442,50000,378021
443,50000,378021
444,50000,378021
445,50000,378021
446,50000,377970
447,50000,377919
448,50000,377868
449,50000,377821
450,50000,376977
451,50000,376208
452,50000,376208
453,50000,361461
454,50000,361321
455,50000,361181
456,50000,361181
457,50000,361181
458,50000,361060
459,50000,360939
460,50000,351610
461,50000,351490
462,50000,351380
463,50000,351270
464,50000,351166
465,50000,351143
466,50000,351143
467,50000,351143
468,50000,334388
469,50000,334388
470,50000,334388
471,50000,334245
472,50000,334102
473,50000,334008
474,50000,334008
475,50000,334008
476,50000,334008
477,50000,334008
478,50000,309518
479,50000,309518
480,50000,309518
481,50000,309378
482,50000,309288
483,50000,309288
484,50000,309288
485,50000,309288
486,50000,309288
487,50000,309288
488,50000,309288
489,50000,309288
490,50000,309288
491,50000,309288
492,50000,309288
493,50000,309288
494,50000,309288
495,50000,309288
496,50000,308788
497,50000,308788
498,50000,308788
499,50000,308788
500,50000,308788
501,50000,308788
502,50000,392772
503,50000,392772
504,50000,392772
505,50000,392772
506,50000,392772
507,50000,392772
508,50000,392629
509,50000,392602
510,50000,392459
511,50000,392332
512,50000,392153
513,50000,391974
514,50000,391725
515,50000,391416
516,50000,390915
517,50000,390845
518,50000,390805
519,50000,390805
520,50000,390805
521,50000,366360
522,50000,366360
523,50000,366360
524,50000,366360
525,50000,366360
526,50000,366360
527,50000,366309
528,50000,366258
529,50000,366210
530,50000,366210
531,50000,366210
532,50000,366090
533,50000,362025
534,50000,362025
535,50000,362025
536,50000,362025
537,50000,445552
538,50000,445501
539,50000,445450
540,50000,445399
541,50000,445383
542,50000,436175
543,50000,436175
544,50000,436175
545,50000,436175
546,50000,436175
547,50000,435867
548,50000,435738
549,50000,435647
550,50000,435647
551,50000,435504
552,50000,435086
553,50000,435028
554,50000,434974
555,50000,434920
556,50000,434882
557,50000,432443
558,50000,432443
559,50000,432392
560,50000,432341
561,50000,432290
562,50000,432239
563,50000,432213
564,50000,432213
565,50000,432213
566,50000,432213
567,50000,432213
568,50000,432213
569,50000,432213
570,50000,432213
571,50000,436923
572,50000,436923
573,50000,436923
574,50000,436923
575,50000,436923
576,50000,436872
577,50000,436821
578,50000,436770
579,50000,436719
580,50000,436703
581,50000,436703
582,50000,436703
583,50000,436703
584,50000,436703
585,50000,436703
586,50000,436703
587,50000,436703
588,50000,436703
589,50000,436703
590,50000,436703
591,50000,493287
592,50000,493287
593,50000,493287
594,50000,493287
595,50000,493287
596,50000,493287
597,50000,493287
598,50000,490531
599,50000,490531
600,50000,490256
601,50000,490256
602,50000,490256
603,50000,490113
604,50000,490016
605,50000,490016
606,50000,489965
607,50000,489863
608,50000,489774
609,50000,489723
610,50000,489532
611,50000,489436
612,50000,489436
613,50000,489436
614,50000,489436
615,50000,465274
616,50000,465274
617,50000,465274
618,50000,464497
619,50000,464497
620,50000,464497
621,50000,463728
622,50000,463728
623,50000,463728
624,50000,446973
625,50000,446973
626,50000,446973
627,50000,446973
628,50000,446973
629,50000,446922
630,50000,446820
631,50000,446718
632,50000,452067
633,50000,452016
634,50000,452000
635,50000,452000
636,50000,452000
637,50000,451860
638,50000,451770
639,50000,451770
640,50000,451770
641,50000,451770
642,50000,450233
643,50000,450233
644,50000,450233
645,50000,450233
646,50000,450233
647,50000,431684
648,50000,431490
649,50000,493210
650,50000,493076
651,50000,493038
652,50000,493038
653,50000,493038
654,50000,493038
655,50000,492755
656,50000,492755
657,50000,492755
658,50000,483547
659,50000,483547
660,50000,483547
661,50000,482714
662,50000,465959
663,50000,465959
664,50000,463203
665,50000,463203
666,50000,463203
667,50000,463203
668,50000,463203
669,50000,463009
670,50000,462815
671,50000,462570
672,50000,462447
673,50000,462345
674,50000,462243
675,50000,462053
676,50000,461963
677,50000,461912
678,50000,461861
679,50000,461810
680,50000,461759
681,50000,461708
682,50000,461657
683,50000,461606
684,50000,461555
685,50000,461504
686,50000,461453
687,50000,461402
688,50000,461351
689,50000,461300
690,50000,461283
691,50000,461283
692,50000,461283
693,50000,516089
694,50000,516089
695,50000,516089
696,50000,516089
697,50000,516089
698,50000,516089
699,50000,516089
700,50000,516089
701,50000,516089
702,50000,516089
703,50000,516089
704,50000,516089
705,50000,516089
706,50000,514552
707,50000,514552
708,50000,514552
709,50000,514552
710,50000,514552
711,50000,514552
712,50000,514552
713,50000,514552
714,50000,514552
715,50000,514552
716,50000,514552
717,50000,514552
718,50000,514439
719,50000,514326
720,50000,514213
721,50000,514049
722,50000,513885
723,50000,513755
724,50000,513650
725,50000,513570
726,50000,513552
727,50000,513552
728,50000,513552
729,50000,513552
730,50000,368926
731,50000,344436
732,50000,344436
733,50000,309694
734,50000,309694
735,50000,309694
736,50000,309694
737,50000,309694
738,50000,309694
739,50000,309694
740,50000,309694
741,50000,309694
742,50000,309694
743,50000,309694
744,50000,309694
745,50000,309694
746,50000,309694
747,50000,309694
748,50000,309694
749,50000,309694
750,50000,403011
751,50000,403011
752,50000,403011
753,50000,403011
754,50000,403011
755,50000,402891
756,50000,402791
757,50000,402791
758,50000,402791
759,50000,402791
760,50000,402791
761,50000,402791
762,50000,400241
763,50000,400241
764,50000,398704
765,50000,398704
766,50000,398653
767,50000,398602
768,50000,398551
769,50000,398500
770,50000,398494
771,50000,398443
772,50000,398392
773,50000,398341
774,50000,398290
775,50000,398239
776,50000,398188
777,50000,398137
778,50000,398086
779,50000,398035
780,50000,397933
781,50000,397831
782,50000,397229
783,50000,397131
784,50000,397080
785,50000,397029
786,50000,396255
787,50000,396255
788,50000,396255
789,50000,396255
790,50000,396255
791,50000,396255
792,50000,396255
793,50000,396255
794,50000,396255
795,50000,396255
796,50000,396255
797,50000,396255
798,50000,396255
799,50000,396255
800,50000,396255
801,50000,396255
802,50000,396255
803,50000,396255
804,50000,396255
805,50000,396255
806,50000,251629
807,50000,251629
808,50000,251629
809,50000,251629
810,50000,251629
811,50000,251629
812,50000,251629
813,50000,251629
814,50000,251559
815,50000,251489
816,50000,251419
817,50000,251349
818,50000,251279
819,50000,251209
820,50000,251139
821,50000,251069
822,50000,250999
823,50000,250929
824,50000,250859
825,50000,250829
826,50000,250829
827,50000,250829
828,50000,250829
829,50000,250829
830,50000,250829
831,50000,250829
832,50000,250829
833,50000,250829
834,50000,250829
835,50000,250829
836,50000,250829
837,50000,250829
838,50000,250829
839,50000,483909
840,50000,483909
841,50000,483909
842,50000,483909
843,50000,483909
844,50000,483909
845,50000,483909
846,50000,483909
847,50000,483909
848,50000,483909
849,50000,483909
850,50000,483909
851,50000,483909
852,50000,483632
853,50000,483632
854,50000,480876
855,50000,480876
856,50000,480876
857,50000,480876
858,50000,466129
859,50000,465820
860,50000,465820
861,50000,465750
862,50000,465680
863,50000,465540
864,50000,465330
865,50000,708494
866,50000,708181
867,50000,708024
868,50000,708024
869,50000,708024
870,50000,708024
871,50000,708024
872,50000,708024
873,50000,708024
874,50000,708024
875,50000,708024
876,50000,708024
877,50000,708024
878,50000,708024
879,50000,708024
880,50000,708024
881,50000,708024
882,50000,708024
883,50000,708024
884,50000,708024
885,50000,708024
886,50000,708024
887,50000,708024
888,50000,708024
889,50000,708024
890,50000,707884
891,50000,707814
892,50000,707814
893,50000,707814
894,50000,707814
895,50000,707814
896,50000,707755
897,50000,707696
898,50000,707637
899,50000,683724
900,50000,683665
901,50000,683650
902,50000,683650
903,50000,683650
904,50000,683650
905,50000,745239
906,50000,728484
907,50000,728484
908,50000,728484
909,50000,693742
910,50000,693742
911,50000,693742
912,50000,693742
913,50000,549116
914,50000,549116
915,50000,549116
916,50000,549116
917,50000,549116
918,50000,549116
919,50000,548976
920,50000,548886
921,50000,548816
922,50000,548746
923,50000,548676
924,50000,548606
925,50000,548536
926,50000,548466
927,50000,548396
928,50000,548326
929,50000,548256
930,50000,548186
931,50000,548116
932,50000,548106
933,50000,548106
934,50000,548106
935,50000,548106
936,50000,548106
937,50000,548106
938,50000,548106
939,50000,548106
940,50000,548106
941,50000,548106
942,50000,548106
943,50000,548106
944,50000,548106
945,50000,548106
946,50000,548106
947,50000,548106
948,50000,548106
949,50000,548106
950,50000,548106
951,50000,548106
952,50000,548106
953,50000,548106
954,50000,548106
955,50000,548106
956,50000,548106
957,50000,548106
958,50000,548106
959,50000,548106
960,50000,548106
961,50000,548106
962,50000,548106
963,50000,548106
964,50000,548106
965,50000,548106
966,50000,548106
967,50000,548106
968,50000,548106
969,50000,548106
970,50000,548106
971,50000,548106
972,50000,548106
973,50000,548106
974,50000,851268
975,50000,851268
976,50000,851268
977,50000,851268
978,50000,851268
979,50000,851268
980,50000,851268
981,50000,851268
982,50000,851268
983,50000,851268
984,50000,851268
985,50000,851268
986,50000,851268
987,50000,851268
988,50000,851268
989,50000,851268
990,50000,851268
991,50000,851268
