Step,lampe,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,50000
16,50000,50000
17,50000,50000
18,50000,50000
19,50000,50000
20,50000,50000
21,50000,48874
22,50000,48874
23,50000,48291
24,50000,48291
25,50000,48291
26,49448,48291
27,49448,46006
28,49448,46006
29,49448,46006
30,49182,46006
31,49182,44365
32,49182,44365
33,49050,41804
34,49022,41804
35,49022,39856
36,49022,39856
37,49022,39735
38,49022,39666
39,49022,39666
40,49022,39666
41,49022,39666
42,49022,39545
43,49022,39294
44,49022,39286
45,49022,39286
46,49022,39286
47,49022,39286
48,49022,39286
49,49022,39286
50,49022,39286
51,49022,39286
52,49022,39286
53,49022,46131
54,49022,46131
55,48874,46131
56,48726,46131
57,48632,46043
58,48632,44020
59,48632,43936
60,48632,41651
61,48632,41651
62,48632,41651
63,48632,41651
64,48632,41651
65,48632,41651
66,48632,38470
67,48632,38470
68,48632,38382
69,48632,38294
70,48632,38119
71,48632,38050
72,48632,38050
73,48632,38050
74,48632,38050
75,48632,38050
76,48632,47386
77,48632,47386
78,48632,47386
79,48632,47386
80,48632,47386
81,48632,47386
82,48330,47386
83,48330,47386
84,47285,47386
85,47285,47386
86,47285,47110
87,47285,47110
88,47285,46834
89,47285,46724
90,47285,44261
91,47019,44251
92,47019,43970
93,47019,42298
94,46909,42056
95,46799,41866
96,46659,41788
97,46549,41788
98,46439,41512
99,46259,41364
100,46259,40990
101,46259,40990
102,46259,40990
103,46259,40990
104,46259,40990
105,46259,40990
106,46259,40990
107,46259,40990
108,46111,40990
109,45999,38705
110,45999,38705
111,45999,38705
112,45999,38557
113,45999,38445
114,45999,38445
115,45999,38445
116,45999,38445
117,45999,38445
118,45999,38445
119,45999,38445
120,45851,38445
121,45769,38445
122,45769,38445
123,45769,38445
124,45505,43545
125,45505,43045
126,45505,43045
127,45505,43045
128,45505,43045
129,45505,43045
130,45505,43045
131,45505,49756
132,45505,49756
133,45505,48947
134,45505,48947
135,45375,48671
136,45265,48671
137,45265,47861
138,45265,47861
139,45265,47861
140,45265,47861
141,45265,47861
142,45265,47861
143,45265,47861
144,45265,47861
145,45265,47861
146,45265,47861
147,45265,44680
148,45265,43008
149,45265,42727
150,45265,42579
151,45265,46485
152,45265,46485
153,45265,46485
154,45265,46485
155,45265,46485
156,45117,46485
157,45075,46485
158,45075,46485
159,45075,45640
160,53455,45640
161,53455,45640
162,53455,43968
163,53455,43968
164,53455,43968
165,53307,43968
166,52359,43125
167,52347,43125
168,52347,42597
169,52347,42597
170,52347,42597
171,52347,42476
172,52347,42355
173,52347,42297
174,52347,42297
175,52347,42297
176,52347,42297
177,52347,42149
178,52199,41956
179,51871,41837
180,51595,41337
181,51595,40837
182,51595,40837
183,51326,40837
184,51044,40837
185,51015,45839
186,51015,45839
187,51015,45839
188,51015,45839
189,51015,45839
190,51015,45839
191,51015,54810
192,51015,54810
193,51015,54810
194,51015,52447
195,51015,52447
196,51015,47623
197,51015,47623
198,50895,47623
199,50333,47623
200,50253,45700
201,50253,45700
202,50253,45419
203,50253,45298
204,50253,45239
205,50253,45239
206,50253,45239
207,50253,45239
208,50253,45239
209,50253,45151
210,50253,45063
211,50003,56632
212,49893,56632
213,49773,54989
214,49773,54989
215,49773,54868
216,49773,54747
217,49773,54709
218,49773,54709
219,49773,54709
220,49773,54709
221,49773,54561
222,49773,54413
223,49773,54379
224,49773,54113
225,49773,54025
226,49773,53937
227,49773,53933
228,49773,53933
229,49773,53933
230,49773,51648
231,49773,51648
232,49773,51648
233,49773,51648
234,49773,51648
235,49773,51648
236,49647,51648
237,49543,51560
238,49543,51472
239,49543,51428
240,49543,51428
241,49543,51428
242,49543,51428
243,49543,50928
244,49543,50928
245,49543,50928
246,49543,50928
247,49543,50928
248,49543,50672
249,49543,50672
250,49543,50672
251,49543,50672
252,49543,50672
253,49543,50584
254,49543,50496
255,49543,50412
256,49543,50412
257,56081,50136
258,56081,49860
259,56081,49860
260,56081,48314
261,56081,48193
262,55933,46668
263,55801,46168
264,55801,46168
265,55801,46080
266,55801,45998
267,55505,45998
268,55166,45998
269,55041,45998
270,55041,45998
271,55041,45998
272,54785,45998
273,54785,45998
274,54685,45998
275,53875,45722
276,53599,45722
277,53599,45420
278,53599,45420
279,53599,45420
280,53599,45420
281,53478,45420
282,53439,45420
283,53329,45420
284,53329,45420
285,53329,45420
286,53197,45420
287,53179,45420
288,53179,45288
289,53179,45200
290,53179,50317
291,53099,50317
292,53099,50317
293,53099,50317
294,53099,50317
295,53099,50317
296,53099,50317
297,53099,50317
298,53099,50317
299,53099,50317
300,53019,50317
301,53019,56310
302,53019,56310
303,53019,56310
304,53019,56310
305,53019,56310
306,53019,56310
307,53019,56310
308,53019,56310
309,53019,56310
310,53019,56310
311,53019,56310
312,53019,56310
313,52909,56310
314,52909,56310
315,52909,56310
316,52909,56310
317,52909,56310
318,52909,56310
319,52909,56310
320,52909,56310
321,52345,56310
322,52345,56310
323,52345,56310
324,52345,56310
325,52345,56310
326,52345,56310
327,52345,56310
328,52345,55501
329,52345,55413
330,52345,53040
331,52345,52986
332,52345,52837
333,52345,52688
334,52345,52539
335,52345,52516
336,52345,52516
337,52345,52384
338,52345,52316
339,52345,52020
340,52345,51916
341,52345,51916
342,52345,51916
343,52345,51916
344,52345,49631
345,52197,49631
346,52165,49631
347,52165,49631
348,52165,49631
349,52165,49631
350,52165,46830
351,52165,46690
352,52165,46162
353,52165,46162
354,52165,46162
355,52165,46162
356,52165,46162
357,52165,46162
358,52165,46162
359,52017,45662
360,51995,45662
361,51995,45662
362,51995,45522
363,51995,45522
364,51995,45522
365,51995,45522
366,51847,45522
367,51815,45522
368,51551,45522
369,51551,45522
370,51551,45522
371,51551,51299
372,51551,51299
373,51551,51299
374,51551,51299
375,51551,50997
376,51551,50997
377,51551,50997
378,51551,50997
379,51551,50997
380,51551,50997
381,51551,50997
382,51551,50997
383,51551,50865
384,51551,50787
385,51551,50666
386,51551,50301
387,51551,50301
388,51551,48565
389,51551,48565
390,51551,48565
391,51551,48263
392,51551,48263
393,51551,47987
394,51551,47839
395,51551,47797
396,51551,47797
397,51551,47649
398,51551,47501
399,51551,47487
400,51551,47487
401,51551,47487
402,51551,47487
403,51551,47487
404,51551,47487
405,51551,47487
406,51551,47347
407,51551,47347
408,51551,47347
409,51551,47347
410,51551,47347
411,51551,47347
412,51551,47347
413,51551,47347
414,51551,47347
415,51551,47347
416,51551,47347
417,51551,57050
418,51551,61070
419,51551,61070
420,51551,61070
421,51551,61070
422,51551,60301
423,51551,59425
424,51551,57753
425,51551,57753
426,51551,57753
427,51551,57753
428,51551,57753
429,51551,57753
430,51551,57753
431,51551,57623
432,51551,54165
433,51551,54165
434,51551,53637
435,51551,53489
436,51551,53437
437,51551,53437
438,51551,53316
439,51551,53195
440,51551,53187
441,51551,53187
442,51551,53187
443,51551,60509
444,51551,60509
445,51551,60509
446,51551,60233
447,51551,60233
448,51551,60233
449,51551,60233
450,51551,60233
451,51551,60233
452,51551,60233
453,51551,60233
454,51551,60233
455,51551,60233
456,51551,60233
457,51551,60233
458,51551,60233
459,51551,60085
460,51551,60073
461,51551,60073
462,51551,60073
463,51551,60073
464,51551,60073
465,51551,60073
466,51403,60073
467,51223,59573
468,51191,59573
469,51043,59573
470,51001,59573
471,51001,59573
472,51001,59573
473,51001,59573
474,50745,59573
475,50745,59573
476,50745,59073
477,50745,59073
478,50745,59073
479,50745,59073
480,50745,59073
481,50745,59073
482,50745,59073
483,50745,59073
484,50745,59073
485,50745,59073
486,50745,59073
487,50745,59073
488,50745,63374
489,50745,63374
490,50745,63374
491,50624,63374
492,50565,63374
493,50565,61126
494,50565,61126
495,50565,58684
496,50565,58684
497,50565,58684
498,50565,58684
499,56129,58684
500,56129,57805
501,56129,57705
502,56129,57705
503,56129,57705
504,56129,57705
505,56129,57705
506,56129,57705
507,54872,56159
508,54724,56159
509,54650,56159
510,54650,52978
511,54287,52978
512,54170,52978
513,54170,52846
514,54170,52728
515,54170,52728
516,54170,52728
517,54021,52728
518,53872,52728
519,53860,52728
520,53860,52728
521,53860,52728
522,53860,52728
523,53860,52228
524,53860,52228
525,53740,52080
526,53740,52048
527,53600,52048
528,53600,52048
529,53305,51771
530,53305,51771
531,53305,51771
532,53305,51771
533,53305,51771
534,53305,51771
535,53173,51771
536,53055,51771
537,53055,51771
538,52935,51771
539,52935,59742
540,52815,59742
541,52815,59742
542,52815,59742
543,52815,59742
544,52815,59742
545,52815,59742
546,52815,59742
547,52815,59742
548,52815,59742
549,52815,59632
550,52815,67508
551,52815,67508
552,52815,67508
553,52815,66663
554,52815,66663
555,52815,66663
556,52815,66663
557,59320,66663
558,59320,66515
559,59320,63242
560,59320,63242
561,59320,62940
562,59320,62940
563,59320,60429
564,59320,60337
565,59320,60337
566,59172,60081
567,58876,60081
568,58551,60081
569,58510,59800
570,58510,59800
571,58510,59536
572,58254,59536
573,58254,59536
574,58254,59536
575,58254,65668
576,57444,65668
577,57444,65668
578,57444,65668
579,57444,65668
580,57444,65668
581,57444,71397
582,57444,71397
583,57334,71397
584,57334,71397
585,57202,71397
586,57184,71397
587,57184,71397
588,57184,71397
589,57184,71397
590,57184,71397
591,57184,71397
592,57184,71397
593,57184,71397
594,57184,69460
595,57184,69300
596,57184,69276
597,57184,69127
598,57184,68267
599,57064,68267
600,56954,66070
601,56844,66070
602,56754,64398
603,56754,64398
604,56606,64142
605,56604,60697
606,56604,60697
607,56604,60697
608,56604,60697
609,56604,60697
610,56604,60697
611,56494,60697
612,56494,60697
613,56494,60697
614,56494,60697
615,56494,60557
616,56494,60557
617,56384,60557
618,56384,60557
619,56384,60409
620,56384,60261
621,56384,59983
622,56384,59867
623,56384,59867
624,56384,59867
625,56384,59367
626,56384,59367
627,61352,59367
628,61352,59367
629,61352,59367
630,61352,59257
631,61094,55702
632,61062,55592
633,60932,55206
634,60932,55166
635,60932,55166
636,60932,55166
637,60662,55166
638,60502,55166
639,60502,55166
640,60155,55166
641,59312,55166
642,59312,55166
643,59312,64716
644,59212,64716
645,59212,64716
646,59212,64716
647,59212,64716
648,59072,64716
649,59072,64716
650,59072,64716
651,59072,61280
652,59072,61171
653,59072,58974
654,59072,58844
655,59072,58844
656,58940,58844
657,58902,58844
658,58772,58844
659,58624,58844
660,58622,58844
661,58622,58844
662,58622,58844
663,58622,58844
664,58474,71578
665,58326,71489
666,57684,71225
667,57684,71225
668,57684,71115
669,57684,71005
670,57684,70995
671,57684,70995
672,57684,70995
673,57684,70995
674,57684,70995
675,57684,70995
676,57684,70995
677,57684,70995
678,57684,70995
679,57684,70995
680,57684,70995
681,57684,70995
682,57684,69352
683,57684,69352
684,57684,67155
685,57684,67155
686,56886,67034
687,56886,66915
688,56886,66915
689,56886,66915
690,56886,66915
691,56886,66827
692,56886,66739
693,56886,66675
694,56886,66675
695,56584,66675
696,56584,66675
697,56584,66675
698,56584,66675
699,56463,76555
700,56424,76555
701,56424,76555
702,56424,76555
703,56424,76555
704,56276,76555
705,56128,76055
706,56064,76055
707,56064,75789
708,56064,75789
709,56064,75789
710,56064,75789
711,56064,75789
712,56064,75789
713,56064,75513
714,56064,75111
715,56064,75052
716,56064,75052
717,56064,75052
718,56064,75052
719,56064,75052
720,55916,75052
721,55824,74376
722,55824,74090
723,55824,73922
724,55824,73922
725,55824,73922
726,55824,72279
727,55824,72279
728,55824,72279
729,55824,72279
730,55824,72279
731,55824,72279
732,63295,72279
733,63295,72279
734,63295,72279
735,63147,72279
736,63145,72279
737,63145,70589
738,63145,70589
739,63025,70501
740,62421,70413
741,62421,77153
742,62421,77153
743,62421,77153
744,62421,77153
745,62300,77153
746,62251,77153
747,61959,77153
748,61959,77153
749,61375,77153
750,61375,77153
751,61375,76955
752,61375,76797
753,61375,76753
754,61375,76753
755,61163,76753
756,61135,76753
757,61003,76753
758,60975,76753
759,60975,76632
760,60975,76553
761,60975,81287
762,60975,81287
763,60975,81011
764,60975,81011
765,60975,80709
766,60975,80709
767,60975,80709
768,60975,80709
769,60975,80709
770,60855,80709
771,60855,78512
772,60735,78512
773,60735,76840
774,60735,76840
775,60735,76840
776,60735,76840
777,60735,76840
778,60735,76840
779,60735,76840
780,60735,76840
781,60735,74316
782,60647,74316
783,60625,74021
784,60537,73719
785,60515,73719
786,60515,73719
787,60515,73719
788,60515,73719
789,60515,73719
790,60515,73598
791,60515,73549
792,64652,73549
793,64652,73549
794,64652,73549
795,64652,73549
796,64652,73549
797,64652,73549
798,64652,73549
799,64564,73549
800,64366,73549
801,64272,73549
802,64272,73549
803,64272,73549
804,64272,73549
805,64184,73549
806,64096,73549
807,64008,73549
808,63920,73549
809,63842,73549
810,63842,73549
811,63842,73549
812,63842,73549
813,63842,73549
814,63722,73549
815,63722,73549
816,63722,73549
817,63722,73549
818,63592,73549
819,63562,73549
820,63562,73549
821,63562,73549
822,63562,73549
823,63562,73549
824,63562,73549
825,63562,73549
826,63034,73549
827,62191,73549
828,62191,73549
829,62191,73549
830,62191,73549
831,62070,73549
832,62041,73549
833,62041,73549
834,62041,73549
835,62041,73549
836,62041,73549
837,62041,73549
838,62041,73549
839,62041,73549
840,62041,73549
841,62041,73549
842,62041,73549
843,62041,73549
844,62041,73549
845,62041,73549
846,62041,73549
847,62041,73549
848,62041,73549
849,61901,73549
850,61901,73549
851,61753,73549
852,61751,73549
853,61751,73549
854,61751,73549
855,61751,73549
856,61751,73549
857,61751,73549
858,61751,73549
859,61751,73549
860,61751,73549
861,61641,73549
862,61641,73549
863,61641,73549
864,61531,73549
865,61531,73549
866,61531,73549
867,61531,73549
868,61531,73549
869,61531,73549
870,61531,73549
871,61531,73549
872,61531,73549
873,61531,73549
874,61531,73549
875,61531,73549
876,61531,73549
877,61531,73549
878,61531,73549
879,61531,73549
880,61531,73549
881,61531,73549
882,61531,73549
883,61531,73549
884,61531,73549
885,61531,73549
886,61531,73549
887,61531,73549
888,61531,73549
889,61531,73549
890,61421,73549
891,61411,73549
892,61411,73549
893,61411,73549
894,61263,73549
895,61211,73549
896,61211,73549
897,61090,73549
898,61031,73549
899,60775,73549
900,60775,73549
901,59651,73549
902,59651,73549
903,59651,73549
904,59651,73549
905,59651,73549
906,59651,73549
907,59563,73549
908,59475,73549
909,59387,73549
910,59178,73549
911,59071,73549
912,58939,73549
913,58921,73549
914,58921,73549
915,58773,73549
916,58771,73549
917,58771,73549
918,58771,73549
919,58771,73549
920,58771,73549
921,58771,73549
922,58771,73549
923,58771,73549
924,58771,73549
925,58651,73549
926,58531,73549
927,58531,73549
928,58443,73549
929,58421,73549
930,58421,73549
931,58421,73549
932,58421,73549
933,58421,73549
934,58341,73549
935,58341,73549
936,58341,73549
937,58341,73549
938,58253,73549
939,58231,73549
940,58231,73549
941,58231,73549
942,58231,73549
943,58231,73549
944,58231,73549
945,63776,73549
946,63776,73549
947,63776,73549
948,63776,73549
949,63776,73549
950,63776,73549
951,63776,73549
952,63776,73549
953,63776,73549
954,63776,73549
955,63776,73549
956,63776,73549
957,63776,73549
958,63776,73549
959,63776,73549
960,63776,73549
961,63776,73549
962,63776,73549
963,63776,73549
964,63776,73549
965,63776,73549
966,63776,73549
967,63776,73549
968,63776,73549
969,63776,73549
970,63776,73549
971,63776,73549
972,63776,73549
973,63776,73549
974,63776,73549
975,63776,73549
976,63776,73549
977,63776,73549
978,63776,73549
979,63776,73549
980,63776,73549
981,63776,73549
982,63776,73549
983,63776,73549
984,63776,73549
985,63776,73549
986,63776,73549
987,63776,73549
988,63776,73549
989,63776,73549
990,63776,73549
991,63776,73549
992,63776,73549
993,63776,73549
994,63776,73549
995,63776,73549
996,63776,73549
997,63776,73549
998,63776,73549
999,63776,73549
1000,63776,73549
