Step,Flisvos-2016,lampe
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,49735,50000
5,49735,50000
6,40826,50000
7,40826,50000
8,40826,50000
9,40826,50000
10,40826,50000
11,39826,50000
12,39826,50000
13,39726,50000
14,38352,50000
15,38352,48926
16,38251,48926
17,38042,48268
18,37934,48153
19,37892,48058
20,37820,48048
21,37609,48048
22,37552,47976
23,37493,47918
24,37434,47838
25,36816,47838
26,26524,47708
27,26524,47708
28,26393,47708
29,25696,47708
30,25696,47708
31,25624,47607
32,25552,47434
33,25480,47328
34,25416,47328
35,25416,47328
36,25277,47263
37,25138,47208
38,25021,47208
39,24956,47208
40,24946,47208
41,43579,47208
42,34876,47208
43,34876,47208
44,34775,47128
45,34573,47108
46,34384,47108
47,34283,47108
48,34182,47108
49,34166,47108
50,33862,47108
51,33862,46827
52,33862,46827
53,33862,46827
54,33790,46827
55,33646,46827
56,33516,46827
57,33512,46827
58,33440,46827
59,33259,46827
60,32939,46827
61,32647,46726
62,32496,46687
63,50191,46687
64,26248,46687
65,26248,46687
66,26248,46687
67,26248,46687
68,26248,46687
69,26248,46687
70,26183,46687
71,25592,46617
72,25396,46617
73,25200,46617
74,25112,46617
75,25112,46617
76,24973,46617
77,24852,46617
78,24852,46617
79,24713,46617
80,24662,46617
81,24662,46617
82,24662,46617
83,24662,46617
84,24662,46552
85,24662,46497
86,24662,46497
87,24449,46497
88,24248,46497
89,24176,46497
90,24045,46497
91,23813,46497
92,23133,46497
93,23002,46497
94,22922,46497
95,22922,46497
96,22922,46497
97,22922,46407
98,22922,46407
99,22922,46407
100,22857,46407
101,22792,46407
102,22727,46407
103,22517,46407
104,22313,46407
105,22109,46407
106,21955,46407
107,21842,46407
108,61411,51967
109,44986,51967
110,44213,51967
111,44154,51967
112,44095,51967
113,44036,51967
114,43977,51895
115,43918,51705
116,43758,51583
117,43660,51547
118,43601,51366
119,43593,51283
120,57237,51211
121,53212,51187
122,52736,51187
123,52557,50805
124,52492,50704
125,52462,50382
126,52462,50112
127,52462,50112
128,52462,50112
129,52462,49992
130,52462,49788
131,52462,49662
132,51962,49662
133,51962,49561
134,51861,49522
135,51683,49522
136,51558,49522
137,51333,49522
138,37329,49522
139,24754,49522
140,24510,48751
141,24453,47065
142,24453,46995
143,24453,46930
144,24243,46319
145,24093,46254
146,24093,46239
147,24093,45991
148,24093,45929
149,24093,45849
150,24093,45769
151,23593,45585
152,23593,45519
153,23593,45519
154,23093,45519
155,23093,45454
156,22593,45260
157,22593,45107
158,22593,45035
159,22593,44963
160,22593,44929
161,22593,44929
162,22593,44649
163,22534,44649
164,22475,44649
165,21851,44649
166,21727,44577
167,21618,44437
168,21559,44389
169,21500,44389
170,21441,44389
171,20893,44389
172,46841,44389
173,43601,44389
174,41926,44389
175,41926,44389
176,41926,44389
177,41926,44389
178,41926,44389
179,41926,44389
180,41926,44389
181,41926,44389
182,41926,44324
183,41926,44259
184,41325,44194
185,41224,44179
186,41126,44179
187,40987,44179
188,40848,44179
189,40786,44179
190,40727,44114
191,40668,44049
192,40609,43984
193,40606,43969
194,40606,43969
195,40467,43969
196,40406,43969
197,40406,43969
198,40406,43969
199,40406,43969
200,40406,43969
201,40406,43969
202,40406,43969
203,71468,43969
204,59516,43969
205,50627,43969
206,50627,43969
207,50627,43969
208,50627,43969
209,50496,43969
210,50365,43969
211,50234,43969
212,50157,43969
213,50157,43969
214,50056,43969
215,75432,43969
216,62809,43969
217,53904,43969
218,53404,43969
219,53404,43969
220,53404,43969
221,53404,43969
222,53265,43969
223,53134,43860
224,53084,43751
225,53084,43719
226,52945,43719
227,52806,43719
228,52667,43719
229,52528,43719
230,52309,43719
231,52130,43719
232,51991,43719
233,59996,43719
234,44419,43719
235,43587,43719
236,43528,43719
237,43359,43719
238,43300,43719
239,43241,43719
240,43237,34508
241,43178,34443
242,43119,34378
243,43060,32973
244,43001,32973
245,42942,32973
246,80787,32849
247,78639,32823
248,69601,32823
249,69521,32823
250,69521,32823
251,69521,32823
252,69521,32823
253,69390,32823
254,69281,32549
255,69100,32549
256,68981,32425
257,68941,32419
258,68941,32419
259,107001,32419
260,93299,32419
261,92762,32419
262,92762,32419
263,92762,32419
264,92762,32419
265,92762,32310
266,92762,32201
267,92762,32040
268,92762,31969
269,92762,31860
270,92631,31849
271,92500,31849
272,92369,31849
273,92179,31849
274,91989,31849
275,91799,31575
276,91696,31575
277,91692,31575
278,91692,31575
279,91692,31575
280,91692,31575
281,91692,31575
282,91692,31575
283,91692,31575
284,91692,31575
285,91692,31575
286,119979,31575
287,95496,31575
288,95437,31575
289,95378,31436
290,95319,31335
291,95264,31335
292,95205,31335
293,95146,31335
294,95087,31335
295,95028,31211
296,94969,31080
297,94910,31015
298,94812,30841
299,94681,30665
300,94606,30665
301,94074,30665
302,94074,30665
303,94074,30665
304,93973,30665
305,93872,30665
306,93771,30665
307,93670,30095
308,93634,30095
309,93634,29975
310,93134,29975
311,93134,29975
312,93134,29975
313,93134,29975
314,93033,29975
315,93014,29975
316,92955,29975
317,115297,29705
318,107309,29705
319,105474,29581
320,105314,29425
321,105179,29301
322,105153,29177
323,105153,29125
324,125080,29125
325,105393,29125
326,103620,29125
327,103581,29125
328,103522,29055
329,103463,29055
330,103324,29055
331,103215,29055
332,103201,29055
333,93193,29055
334,93193,29055
335,93092,29055
336,93023,29055
337,93023,29055
338,93023,29055
339,93023,28916
340,92958,28777
341,92893,28518
342,92828,28379
343,92763,28240
344,92698,28195
345,92633,28195
346,92568,28195
347,92553,28195
348,92553,28195
349,92481,28195
350,92409,28195
351,92337,28195
352,92265,28195
353,92253,28195
354,92253,28195
355,92253,28195
356,92188,28195
357,92123,28123
358,92058,28065
359,91993,28065
360,91928,28065
361,91863,28065
362,91798,27802
363,91198,27802
364,90633,27802
365,90568,27802
366,90503,27802
367,90388,27802
368,90273,27802
369,90158,27802
370,90043,27802
371,134378,27737
372,132710,27682
373,131601,27573
374,113242,27464
375,113192,27392
376,113192,27392
377,113162,27392
378,113162,27392
379,113162,27392
380,113162,27392
381,113162,27392
382,113162,27392
383,113162,27392
384,113061,27392
385,112888,27392
386,112798,27392
387,112726,27392
388,112654,27392
389,112642,27392
390,112642,27392
391,112642,27302
392,112642,27302
393,112642,27302
394,112518,27302
395,112394,27193
396,112270,27182
397,112146,27182
398,111522,27182
399,111336,27182
400,111239,27182
401,111180,27110
402,111121,26983
403,111062,26874
404,111003,26852
405,110944,26852
406,110885,26852
407,110826,26852
408,110822,26852
409,110763,26852
410,110704,26852
411,110645,26852
412,110586,26852
413,110527,26852
414,110468,26852
415,110409,26787
416,110350,26732
417,110291,26667
418,110232,26602
419,143051,26537
420,141643,26472
421,140813,26407
422,140754,26392
423,156963,26392
424,135436,26392
425,135341,26392
426,135276,26392
427,135211,26392
428,135146,26392
429,135081,26392
430,135066,26392
431,134965,26392
432,134916,26392
433,134916,26392
434,134916,26392
435,134857,26392
436,134726,26392
437,134528,26392
438,134229,26392
439,133945,26392
440,133759,26392
441,133736,26312
442,133736,26138
443,133736,26062
444,133736,25997
445,133736,25873
446,130813,25862
447,130512,25862
448,130249,25348
449,130122,25348
450,129998,25348
451,129958,25348
452,129958,25348
453,129958,24252
454,129958,24187
455,129958,24042
456,129458,24042
457,129357,24042
458,129278,24042
459,129278,24042
460,129278,23824
461,129278,23714
462,129198,23712
463,129118,23712
464,129038,23346
465,128958,23275
466,128898,23275
467,128898,23275
468,128898,23275
469,128398,23275
470,128259,23275
471,128120,23275
472,128108,23275
473,128108,23275
474,128108,23275
475,128108,23275
476,127608,23275
477,127608,23275
478,127608,23275
479,127608,23275
480,127608,23275
481,127608,23275
482,127488,23275
483,127488,23275
484,127488,23275
485,127488,23210
486,127488,23080
487,127488,22876
488,127488,22865
489,127488,22865
490,127488,22865
491,132612,22865
492,131574,22865
493,130011,22865
494,129754,22865
495,120865,22865
496,120865,22865
497,120865,22865
498,120865,22665
499,157380,22665
500,145459,22665
501,144960,22665
502,144735,22665
503,144510,22665
504,144409,22117
505,144409,22117
506,144409,22117
507,144409,22117
508,144409,22117
509,144409,22117
510,144409,22117
511,144409,22008
512,150253,22007
513,149432,21935
514,146830,21897
515,146436,21897
516,146014,21897
517,145868,21897
518,145844,21897
519,145844,21897
520,145844,21897
521,145844,21897
522,145844,21897
523,145743,21897
524,145541,21897
525,145422,21897
526,145404,21897
527,145273,21832
528,145142,21777
529,145011,21777
530,144964,21777
531,144964,21777
532,144964,21777
533,168876,21777
534,165848,21777
535,165199,21777
536,164275,20372
537,163873,20091
538,154840,20091
539,154730,20091
540,154654,20091
541,154582,20091
542,154526,20026
543,154526,19896
544,154526,19766
545,154526,19686
546,154360,19641
547,154194,19641
548,154086,19531
549,153586,19422
550,153586,19313
551,153586,19291
552,153354,19291
553,153122,19291
554,152890,19291
555,152658,19291
556,152426,19291
557,152280,19291
558,152186,19291
559,152186,19291
560,152186,19291
561,152186,19291
562,152186,19291
563,152114,19291
564,152056,19219
565,152056,19075
566,152056,18967
567,151955,18931
568,151854,18931
569,151806,18931
570,151806,18931
571,151667,18931
572,151596,18931
573,151596,18931
574,151596,18931
575,151596,18931
576,151596,18931
577,151596,18931
578,151596,18931
579,151096,18931
580,151096,18931
581,151096,15587
582,151096,15587
583,156692,15587
584,141447,15587
585,139856,15587
586,139856,15587
587,139856,15587
588,139856,15587
589,139856,15587
590,139856,15587
591,139356,15587
592,139356,15587
593,139356,15587
594,139356,15384
595,139196,15213
596,139036,15141
597,138959,15107
598,138900,15107
599,138896,15107
600,138896,15107
601,138896,15107
602,138896,15107
603,138896,15107
604,138645,15107
605,138546,15107
606,138546,15107
607,138046,15107
608,138046,15107
609,166222,15107
610,152149,15107
611,150434,15107
612,148781,15035
613,167711,14963
614,158400,14957
615,158261,14957
616,157248,14957
617,157248,14957
618,177758,14957
619,172834,14957
620,172703,14892
621,172513,14827
622,172323,14762
623,172133,14747
624,171943,14747
625,171925,14747
626,171866,14747
627,171807,14747
628,171748,14747
629,171745,14747
630,171745,14747
631,171665,14747
632,171585,14747
633,171505,14747
634,171505,14747
635,171505,14747
636,171505,14747
637,171505,14682
638,171381,14552
639,171265,14422
640,171265,14387
641,171265,14387
642,171206,14387
643,171147,14387
644,171088,14387
645,171029,14387
646,170970,14387
647,170911,14387
648,170852,14387
649,170793,14387
650,170785,14387
651,170785,14387
652,170684,14387
653,170474,14315
654,170253,14267
655,170043,14267
656,169858,14267
657,169749,14267
658,169640,14267
659,169531,14267
660,168955,14267
661,168455,14267
662,168396,14267
663,168337,14267
664,168258,14267
665,168199,14267
666,168140,14267
667,168095,14267
668,168095,14267
669,168095,14267
670,168005,14267
671,168005,14267
672,168005,14166
673,168005,14072
674,168005,14027
675,168005,13962
676,168005,13897
677,185423,13832
678,181702,13817
679,180790,13817
680,180659,13817
681,180659,13817
682,180659,13550
683,180659,13550
684,180659,13550
685,188564,13550
686,175314,13550
687,175314,13478
688,175183,13430
689,205211,13329
690,191298,13290
691,189707,13290
692,189627,13290
693,189547,13290
694,189537,13290
695,189537,13290
696,189537,13290
697,189537,13181
698,188965,13110
699,188893,13110
700,188821,13110
701,188749,13110
702,188747,13110
703,188747,13110
704,188747,13110
705,188747,13110
706,188747,13110
707,188747,13110
708,188747,13110
709,188747,13110
710,188747,13110
711,188555,13110
712,188483,13110
713,187878,13110
714,187688,13110
715,210153,13110
716,199963,13110
717,198269,13110
718,198012,13110
719,197962,13110
720,197962,13110
721,197821,13110
722,197712,13110
723,197712,13110
724,197712,13001
725,197712,12892
726,197712,12870
727,197712,12870
728,205921,12870
729,192647,12870
730,191012,12870
731,190988,12870
732,190988,12870
733,190887,12870
734,217422,12870
735,216147,12870
736,215761,12870
737,205737,12870
738,205672,12870
739,204867,12870
740,204652,12870
741,204486,12870
742,204286,12870
743,204199,12870
744,204140,12870
745,204081,12870
746,204022,12870
747,203963,12870
748,203904,12870
749,203845,12870
750,203786,12870
751,203727,12870
752,203668,12870
753,203543,12870
754,203375,12740
755,203317,12740
756,203317,12740
757,203317,12740
758,203317,12740
759,203317,12740
760,203317,12740
761,221703,12740
762,220352,12740
763,219063,12740
764,219063,12740
765,219063,12668
766,219063,12650
767,219063,12650
768,218983,12650
769,218903,12650
770,218883,12650
771,218813,50433
772,218813,50433
773,218813,50433
774,218748,50433
775,218683,50433
776,218633,50433
777,218633,50433
778,218633,50433
779,218633,50332
780,218633,50293
781,218574,50112
782,218515,50009
783,218456,49943
784,218397,49878
785,218338,49813
786,218279,49813
787,218273,49813
788,218273,49813
789,218201,49813
790,218129,49532
791,218057,49532
792,217985,49423
793,217943,49314
794,238386,49205
795,224646,49152
796,223011,49072
797,222338,48940
798,222207,48882
799,222135,48773
800,222063,48664
801,221991,48572
802,221919,48572
803,221847,48572
804,221775,48572
805,221703,48572
806,221631,48572
807,221123,48572
808,221003,48500
809,221003,48472
810,221003,48472
811,220902,48407
812,220801,48352
813,220628,48352
814,220489,48352
815,220367,48352
816,220293,48352
817,220243,48352
818,246420,48352
819,236878,48352
820,235349,48352
821,235349,48352
822,235349,48287
823,235349,48232
824,235349,48232
825,235349,48232
826,235349,48232
827,235349,48232
828,235248,48232
829,235037,48232
830,240554,48232
831,239146,48232
832,238094,48232
833,238094,48232
834,237993,48232
835,237904,48232
836,237904,48232
837,237904,48232
838,237904,48232
839,237904,48232
840,237904,48232
841,237904,48232
842,237904,48232
843,237832,48232
844,237760,48232
845,237490,48232
846,237308,48232
847,237177,48232
848,237046,48232
849,236950,48232
850,236819,48123
851,236587,48014
852,236355,47905
853,236123,47796
854,235905,47687
855,235745,47578
856,235608,47469
857,235507,47422
858,235434,47422
859,235434,47422
860,235434,47422
861,255803,47422
862,255257,47422
863,244757,47422
864,244757,47422
865,244757,47422
866,244757,47422
867,244757,47422
868,244757,47422
869,244757,47422
870,244757,47422
871,250300,47422
872,248973,47422
873,229559,47422
874,229559,47422
875,229559,47422
876,229559,47422
877,229559,47422
878,229420,47422
879,229289,47422
880,229289,47422
881,229289,47422
882,229188,47422
883,229087,47422
884,253415,47422
885,242634,47422
886,240985,47422
887,240985,47422
888,240985,47422
889,240985,47422
890,240985,47422
891,240985,47422
892,240985,47422
893,240985,47422
894,240985,47422
895,240985,47422
896,240985,47422
897,240825,47422
898,240665,47422
899,240374,47422
900,240083,47422
901,239942,47422
902,239811,47422
903,239680,47422
904,239615,47422
905,239615,47422
906,239615,47422
907,239476,47422
908,239337,47422
909,239198,47422
910,239145,47422
911,238580,47422
912,238450,47422
913,238320,47422
914,238190,47422
915,238005,47422
916,237860,47422
917,237606,47422
918,236892,47422
919,236748,47422
920,236639,47422
921,236585,47422
922,236585,47422
923,236336,47422
924,236275,47422
925,236275,47422
926,236275,47422
927,236275,47422
928,235775,47422
929,235775,47422
930,235775,47422
931,235775,47422
932,235775,47422
933,235775,47422
934,235775,47422
935,235775,47422
936,235775,47422
937,235775,47422
938,235775,47422
939,235544,47422
940,235485,47422
941,235485,47422
942,235485,47422
943,235485,47422
944,235485,47422
945,235376,47422
946,235285,47422
947,235285,47422
948,235285,47422
949,235285,47422
950,256047,47422
951,256047,47422
952,256047,47422
953,256047,47422
954,289770,47422
955,289646,47422
956,289522,47422
957,289398,47422
958,289280,47422
959,289280,47422
960,289280,47422
961,289156,47422
962,289080,47422
963,289080,47422
964,289080,47422
965,289080,47422
966,289080,47422
967,289080,47422
968,289080,47422
969,289080,47422
970,289080,47422
971,289080,47422
972,289080,47422
973,289080,47422
974,288979,47422
975,288878,47422
976,288777,47422
977,288760,47422
978,288760,47422
979,288760,47422
980,288760,47422
981,288760,47422
982,288760,47422
983,288760,47422
984,288760,47422
985,288760,47422
986,288760,47422
987,288760,47422
988,288760,47422
989,288760,47422
990,288760,47422
991,288760,47422
992,288760,47422
993,288760,47422
994,288760,47422
995,288760,47422
996,288760,47422
997,288760,47422
998,288760,47422
999,288760,47422
1000,288760,47422
