Step,Flisvos-2016,Python-DTU
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,47204,50000
7,42498,50000
8,31560,50000
9,31560,50000
10,31560,50000
11,31035,50000
12,29331,50000
13,25085,50000
14,25085,50000
15,19417,50000
16,19417,50000
17,19273,50000
18,19169,50000
19,19107,50000
20,19107,50000
21,18996,50000
22,18917,50000
23,18917,50000
24,18817,44538
25,18717,44538
26,18617,44538
27,18517,44538
28,18487,44450
29,18487,44448
30,18487,44448
31,18436,44448
32,18387,44448
33,18387,44360
34,18387,44278
35,18387,44278
36,18387,44278
37,18387,44278
38,18387,44278
39,18387,44278
40,18249,44278
41,18111,44278
42,18037,44278
43,18037,44190
44,18037,44178
45,18037,44178
46,18037,44178
47,18037,44178
48,18037,44178
49,18037,44081
50,18037,43984
51,18037,43968
52,18037,43968
53,18037,43968
54,17940,43968
55,17843,43968
56,17746,43968
57,17649,43968
58,17567,43968
59,17567,43968
60,17567,43968
61,17067,43968
62,17067,43968
63,17067,43968
64,16567,43968
65,16567,43968
66,16567,43968
67,16567,43968
68,16567,43968
69,16527,43968
70,16527,43968
71,16527,43968
72,16527,43968
73,16527,43968
74,16527,43968
75,16527,43968
76,16527,43968
77,16527,43968
78,16527,43968
79,16527,43968
80,16527,43968
81,16527,43968
82,16527,43968
83,16527,43968
84,16527,43968
85,16527,43968
86,16527,43968
87,16527,43968
88,16527,43968
89,27520,43968
90,42421,43968
91,22995,43968
92,22902,43968
93,22809,43968
94,22741,43968
95,22741,43968
96,22741,43968
97,22741,43968
98,22741,43968
99,22741,43968
100,22741,43968
101,22741,43968
102,22741,43968
103,22741,43968
104,22741,43968
105,22741,43968
106,22741,43968
107,22741,43968
108,22741,43968
109,22741,43968
110,22603,43968
111,22501,43968
112,22501,43968
113,22390,43968
114,22279,43968
115,22030,43968
116,21787,43968
117,21561,43968
118,21467,43968
119,21329,43968
120,21191,43968
121,21053,43968
122,20915,43968
123,20777,43968
124,20639,43968
125,20521,43968
126,20471,43968
127,20421,43968
128,20371,43968
129,20331,43968
130,20331,43968
131,19831,43968
132,19831,43968
133,19831,43968
134,19831,43968
135,19331,43968
136,18831,43968
137,18831,43968
138,18831,43968
139,18831,43968
140,18831,43968
141,18831,43968
142,18831,43968
143,18831,43968
144,18751,43968
145,18751,43968
146,18751,43968
147,18751,43968
148,18751,43968
149,18751,43968
150,18751,43968
151,18751,43968
152,18751,43968
153,18751,43968
154,18751,43968
155,18552,43968
156,18298,43968
157,18157,43968
158,18010,43968
159,17871,43968
160,17821,43968
161,17771,43968
162,17721,43968
163,42451,43968
164,39801,43968
165,39493,43968
166,39443,43968
167,39393,43968
168,39343,43968
169,39293,43968
170,39243,43968
171,39193,43968
172,39143,43968
173,68302,43968
174,67275,43968
175,65713,43968
176,65713,43968
177,65620,43968
178,65527,43968
179,65473,43968
180,65473,43968
181,65362,43968
182,65293,43968
183,65293,43968
184,65293,43968
185,65293,43968
186,65293,43968
187,65293,43968
188,65293,43968
189,65293,43968
190,65293,43968
191,65223,43968
192,65223,43968
193,65223,43968
194,65223,43968
195,65223,43968
196,65085,43968
197,64947,43968
198,64809,43968
199,64671,43968
200,64573,43968
201,64435,43968
202,64297,43968
203,64159,43968
204,64021,43968
205,63473,43968
206,63473,43968
207,63473,43968
208,63473,43968
209,63473,43968
210,63473,43968
211,63473,43968
212,63473,43968
213,63473,43968
214,62973,43968
215,62973,43968
216,62973,43968
217,62876,43968
218,62749,43968
219,62652,43968
220,62555,43968
221,62473,43968
222,62473,43968
223,62473,43968
224,62473,43968
225,62473,43968
226,62473,43968
227,62329,43968
228,62263,43968
229,62263,43968
230,62263,43968
231,62263,43968
232,62263,43968
233,56689,43968
234,56638,43968
235,56587,43968
236,56485,43968
237,56383,43968
238,56281,43968
239,60891,43968
240,58238,43968
241,55697,43968
242,54911,43968
243,54860,43968
244,54809,43968
245,54768,43968
246,54768,43968
247,54768,43968
248,54768,43968
249,54768,43968
250,54768,43968
251,54768,43968
252,54630,43968
253,54478,43968
254,54428,43968
255,54378,43968
256,54338,43968
257,54338,43968
258,54288,43968
259,54238,43968
260,54188,43968
261,54138,43968
262,54038,43968
263,53938,43968
264,53888,43968
265,53838,43968
266,53788,43968
267,53738,43968
268,53688,43968
269,53638,43968
270,53588,43968
271,53538,43968
272,53488,43968
273,53387,43968
274,53148,43968
275,52891,43968
276,52702,43968
277,52513,43968
278,51858,43968
279,51358,43968
280,51358,43968
281,51358,43968
282,51358,43968
283,51358,43968
284,51358,43968
285,51358,43968
286,51358,43968
287,51358,43968
288,51307,43968
289,51268,43968
290,51268,43968
291,51180,43968
292,50592,43968
293,50004,43968
294,49916,43968
295,49328,43968
296,49278,43968
297,49150,43968
298,49068,43968
299,49068,43968
300,49017,43968
301,49008,43968
302,49008,43968
303,49008,43968
304,49008,43968
305,49008,43968
306,49008,43968
307,49008,43968
308,49008,43968
309,49008,43968
310,48958,43968
311,48908,43968
312,48868,43968
313,48868,43968
314,48868,43968
315,48868,43968
316,54558,43968
317,49252,43968
318,66597,43968
319,62706,43968
320,56750,43968
321,56750,43968
322,56750,43968
323,56750,43968
324,56250,43968
325,56250,43968
326,56250,43968
327,56250,43968
328,56250,43968
329,56250,43968
330,56250,43968
331,56150,43968
332,56050,43968
333,55950,43968
334,70932,43968
335,66087,43968
336,55487,43968
337,55487,43968
338,55436,43968
339,55385,43968
340,55284,43968
341,55183,43968
342,54994,43968
343,54617,43968
344,54316,43968
345,54077,43968
346,53838,43968
347,53521,43968
348,53245,43968
349,53137,43968
350,53087,43968
351,53037,43968
352,52886,43968
353,52735,43968
354,52533,43968
355,52293,43968
356,52053,43968
357,51813,43968
358,51635,43968
359,51011,43968
360,50910,43968
361,50759,43968
362,50648,43968
363,50547,43968
364,50446,43968
365,50294,43968
366,50054,43968
367,49817,43968
368,49692,43968
369,49591,43968
370,49547,43968
371,49547,43968
372,49547,43968
373,49459,43968
374,48871,43968
375,76745,43968
376,74367,43968
377,74086,43968
378,74086,43968
379,74086,43968
380,74086,43968
381,74086,43968
382,73948,43968
383,73876,43968
384,73876,43968
385,73876,43968
386,73876,43968
387,73326,43968
388,73276,43968
389,73226,43968
390,73206,43968
391,73206,43968
392,73206,43968
393,73156,43968
394,73106,43968
395,73056,43968
396,73036,43968
397,72898,43968
398,72786,43968
399,72786,43968
400,72786,43968
401,72786,43968
402,72786,43968
403,72786,43968
404,72786,43968
405,72786,43968
406,72286,43968
407,72286,43968
408,72286,43968
409,72286,43968
410,72286,43968
411,72286,43968
412,88637,43968
413,81838,43968
414,81557,43968
415,91898,43968
416,93812,43968
417,91537,43968
418,91266,43968
419,90077,43968
420,89929,43968
421,89781,43968
422,89633,43968
423,89485,43968
424,89242,43968
425,89034,43968
426,88842,43968
427,88795,43968
428,88795,43968
429,88795,43968
430,88795,43968
431,88657,43968
432,88625,43968
433,88575,43968
434,88525,43968
435,88475,43968
436,88425,43968
437,88354,43968
438,88303,43968
439,100812,43968
440,97072,43968
441,96136,43968
442,96035,43968
443,95934,43968
444,95833,43968
445,95732,43968
446,95631,43968
447,94979,43968
448,94689,43968
449,94498,43968
450,94397,43968
451,94245,43968
452,94105,43968
453,94054,43968
454,94003,43968
455,93952,43968
456,93931,43968
457,93431,43968
458,93431,43968
459,93431,43968
460,93431,43968
461,93431,43968
462,93431,43968
463,93431,43968
464,93431,43968
465,92931,43968
466,92931,43968
467,92881,43968
468,92831,43968
469,92781,43968
470,92731,43968
471,92681,43968
472,92631,43968
473,92601,43968
474,92601,43968
475,92050,43968
476,91499,43968
477,91448,43968
478,91397,43968
479,91267,43968
480,90892,43968
481,90799,43968
482,90748,43968
483,90700,43968
484,90700,43968
485,90700,43968
486,90700,43968
487,90700,43968
488,90700,43968
489,90589,43968
490,90580,43968
491,90580,43968
492,90580,43968
493,90580,43968
494,90580,43968
495,90080,43968
496,90080,43968
497,90080,43968
498,90080,43968
499,90080,43968
500,90040,43968
501,90040,43968
502,90040,43968
503,90040,43968
504,90040,43968
505,90040,43968
506,90040,43968
507,90040,43968
508,89902,43968
509,89764,43968
510,89626,43968
511,89550,43968
512,89550,43968
513,89550,43968
514,89550,43968
515,89550,43968
516,89550,43968
517,89550,43968
518,89550,43968
519,89550,43968
520,89499,43968
521,89448,43968
522,89397,43968
523,89346,43968
524,89244,43968
525,89142,43968
526,89040,43968
527,88938,43968
528,88836,43968
529,88734,43968
530,88632,43968
531,88530,43968
532,88428,43968
533,88356,43968
534,94506,43968
535,92180,43968
536,91909,43968
537,91909,43968
538,91771,43968
539,91633,43968
540,91495,43968
541,91246,43968
542,90997,43968
543,90801,43968
544,90799,43968
545,90799,43968
546,90799,43968
547,90799,43968
548,90799,43968
549,90799,43968
550,90799,43968
551,90749,43968
552,90699,43968
553,90649,43968
554,90599,43968
555,90549,43968
556,97607,43968
557,85142,43968
558,85142,43968
559,85142,43968
560,85142,43968
561,85142,43968
562,85142,43968
563,85142,43968
564,85063,43968
565,84484,43968
566,84405,43968
567,84352,43968
568,84301,43968
569,84250,43968
570,84199,43968
571,84192,43968
572,84192,43968
573,84192,43968
574,84192,43968
575,84054,43968
576,83916,43968
577,83778,43968
578,83640,43968
579,83502,43968
580,83472,43968
581,83472,43968
582,83472,43968
583,83472,43968
584,83421,43968
585,83372,43968
586,83372,43968
587,83372,43968
588,83372,43968
589,83372,43968
590,83261,43968
591,83150,43968
592,83132,43968
593,83132,43968
594,83132,43968
595,82632,43968
596,82632,43968
597,82632,43968
598,82632,43968
599,82632,43968
600,82632,43968
601,82632,43968
602,82581,43968
603,82521,43968
604,82470,43968
605,82419,43968
606,81868,43968
607,81817,43968
608,81715,43968
609,81613,43968
610,81511,43968
611,81409,43968
612,81307,43968
613,81205,43968
614,81103,43968
615,81032,43968
616,81032,43968
617,81032,43968
618,80532,43968
619,80532,43968
620,80453,43968
621,80402,43968
622,80402,43968
623,80402,43968
624,80402,43968
625,85306,43968
626,80987,43968
627,79491,43968
628,79403,43968
629,79352,43968
630,79301,43968
631,78774,43968
632,78774,43968
633,78774,43968
634,78774,43968
635,78774,43968
636,78774,43968
637,78724,43968
638,78614,43968
639,78564,43968
640,78524,43968
641,78524,43968
642,78413,43968
643,65953,43968
644,65842,43968
645,65680,43968
646,65430,43968
647,65256,43968
648,65030,43968
649,64831,43968
650,64672,43968
651,64447,43968
652,64405,43968
653,64304,43968
654,64203,43968
655,64102,43968
656,64011,43968
657,63960,43968
658,63915,43968
659,85809,43968
660,82511,43968
661,81383,43968
662,81207,43968
663,81031,43968
664,80939,43968
665,80939,43968
666,80939,43968
667,80939,43968
668,80939,43968
669,80439,43968
670,80439,43968
671,80439,43968
672,80360,43968
673,80281,43968
674,80152,43968
675,80023,43968
676,79894,43968
677,79809,43968
678,79769,43968
679,89907,43968
680,86894,43968
681,86894,43968
682,86894,43968
683,86894,43968
684,86894,43968
685,86894,43968
686,86894,43968
687,86894,43968
688,86801,43968
689,86714,43968
690,86604,43968
691,86604,43968
692,86604,43968
693,86604,43968
694,86604,43968
695,86604,43968
696,86604,43968
697,86604,43968
698,86604,43968
699,86604,43968
700,86604,43968
701,86604,43968
702,107281,43968
703,103871,43968
704,103613,43968
705,103562,43968
706,103461,43968
707,102722,43968
708,102368,43968
709,102041,43968
710,101830,43968
711,101729,43968
712,101628,43968
713,101527,43968
714,101426,43968
715,101353,43968
716,101303,43968
717,101293,43968
718,101293,43968
719,101293,43968
720,101155,43968
721,100517,43968
722,100503,43968
723,100503,43968
724,100503,43968
725,100503,43968
726,99865,43968
727,99630,43968
728,99395,43968
729,104855,43968
730,103809,43968
731,101168,43968
732,99190,43968
733,99033,43968
734,98969,43968
735,98969,43968
736,98969,43968
737,98969,43968
738,98969,43968
739,98969,43968
740,98969,43968
741,98969,43968
742,98969,43968
743,98969,43968
744,98969,43968
745,98918,43968
746,98367,43968
747,98316,43968
748,98289,43968
749,98289,43968
750,98289,43968
751,98289,43968
752,98289,43968
753,98289,43968
754,98289,43968
755,98289,43968
756,98238,43968
757,98187,43968
758,98136,43968
759,98085,43968
760,97890,43968
761,97695,43968
762,104801,43968
763,99845,43968
764,99794,43968
765,99692,43968
766,99590,43968
767,106313,43968
768,104207,43968
769,103417,43968
770,114026,43968
771,111424,43968
772,111074,43968
773,110706,43968
774,110605,43968
775,110222,43968
776,109953,43968
777,109902,43968
778,109851,43968
779,109699,43968
780,109561,43968
781,109497,43968
782,109497,43968
783,109497,43968
784,109497,43968
785,109497,43968
786,109446,43968
787,109344,43968
788,109242,43968
789,109043,43968
790,108853,43968
791,108817,43968
792,108817,43968
793,108817,43968
794,108817,43968
795,108767,43968
796,108717,43968
797,108667,43968
798,108617,43968
799,116996,43968
800,109688,43968
801,109638,43968
802,109537,43968
803,109446,43968
804,109228,43968
805,109010,43968
806,108833,43968
807,108732,43968
808,108580,43968
809,108466,43968
810,108415,43968
811,108267,43968
812,108119,43968
813,107920,43968
814,107721,43968
815,107522,43968
816,107323,43968
817,107139,43968
818,107037,43968
819,106986,43968
820,106935,43968
821,106884,43968
822,106833,43968
823,112307,43968
824,120962,43968
825,113845,43968
826,112666,43968
827,112527,43968
828,112388,43968
829,112239,43968
830,112138,43968
831,112037,43968
832,111782,43968
833,111721,43968
834,111670,43968
835,111619,43968
836,111518,43968
837,111417,43968
838,111343,43968
839,111293,43968
840,111243,43968
841,111105,43968
842,111017,43968
843,110953,43968
844,110953,43968
845,105234,43968
846,105183,43968
847,105132,43968
848,105081,43968
849,105045,43968
850,104944,43968
851,104843,43968
852,104742,43968
853,104641,43968
854,104540,43968
855,104439,43968
856,104338,43968
857,104237,43968
858,104136,43968
859,104065,43968
860,103876,43968
861,103687,43968
862,103572,43968
863,103521,43968
864,103470,43968
865,103419,43968
866,103415,43968
867,103415,43968
868,103415,43968
869,103415,43968
870,103415,43968
871,108993,43968
872,105683,43968
873,101437,43968
874,101437,43968
875,101437,43968
876,101437,43968
877,101358,43968
878,101279,43968
879,101247,43968
880,101159,43968
881,101071,43968
882,100983,43968
883,100957,43968
884,100957,43968
885,100957,43968
886,100907,43968
887,108211,43968
888,106207,43968
889,104507,43968
890,104507,43968
891,104507,43968
892,104507,43968
893,103860,43968
894,103713,43968
895,103637,43968
896,103587,43968
897,103486,43968
898,103385,43968
899,103284,43968
900,103227,43968
901,103177,43968
902,103127,43968
903,103077,43968
904,103027,43968
905,102977,43968
906,102816,43968
907,102807,43968
908,102807,43968
909,102807,43968
910,102807,43968
911,102807,43968
912,102807,43968
913,102807,43968
914,102807,43968
915,102669,43968
916,102531,43968
917,102447,43968
918,102447,43968
919,102359,43968
920,102271,43968
921,102183,43968
922,102095,43968
923,102007,43968
924,101919,43968
925,101877,43968
926,101877,43968
927,101877,43968
928,121330,43968
929,121330,43968
930,120830,43968
931,120830,43968
932,120830,43968
933,120830,43968
934,120830,43968
935,120790,43968
936,120702,43968
937,120614,43968
938,120526,43968
939,120438,43968
940,120400,43968
941,120400,43968
942,120400,43968
943,120400,43968
944,120400,43968
945,120400,43968
946,120400,43968
947,120400,43968
948,120400,43968
949,120400,43968
950,120400,43968
951,126466,43968
952,125966,43968
953,125966,43968
954,125966,43968
955,125966,43968
956,125966,43968
957,125966,43968
958,125966,43968
959,125966,43968
960,125966,43968
961,125966,43968
962,125966,43968
963,125966,43968
964,125966,43968
965,125966,43968
966,125966,43968
967,125887,43968
968,125826,43968
969,125826,43968
970,125826,43968
971,125826,43968
972,125826,43968
973,125826,43968
974,125826,43968
975,125826,43968
976,125826,43968
977,125826,43968
978,125826,43968
979,125826,43968
980,125826,43968
981,125826,43968
982,125826,43968
983,125826,43968
984,125826,43968
985,125826,43968
986,125826,43968
987,125826,43968
988,125826,43968
989,125826,43968
990,125826,43968
991,125826,43968
992,125826,43968
993,125826,43968
994,125826,43968
995,138718,43968
996,138718,43968
997,138718,43968
998,138718,43968
999,138718,43968
1000,138718,43968
