Step,BathTUB,Flisvos-2016
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,49705,48161
14,49431,47439
15,49431,47439
16,49150,47303
17,49050,47299
18,48261,47246
19,48261,47193
20,48261,45110
21,47539,43168
22,47539,42758
23,47031,32542
24,47031,32542
25,47031,32406
26,47031,32302
27,47031,32072
28,45836,32012
29,45482,31735
30,45482,31502
31,45335,31449
32,45252,31396
33,45252,31343
34,45116,31322
35,45002,31322
36,44741,31186
37,44741,31050
38,44741,30982
39,44741,30982
40,44741,30982
41,44741,30982
42,44741,30982
43,44477,30982
44,43704,30982
45,43568,30982
46,43454,30982
47,43454,30982
48,43454,30982
49,43454,56300
50,43401,47609
51,43348,47067
52,43324,47067
53,43324,47067
54,43324,47067
55,41738,46920
56,41602,46764
57,41330,46621
58,41080,46568
59,41008,46517
60,41008,46517
61,41008,46464
62,41008,46304
63,41008,46144
64,41008,46047
65,40722,45917
66,40722,45651
67,40722,45385
68,40722,49388
69,40722,46906
70,52052,46738
71,52052,46677
72,52052,46677
73,56797,46677
74,56797,45920
75,56797,41311
76,56797,41181
77,56797,41051
78,56797,40735
79,56797,40599
80,56797,40463
81,56667,40327
82,56597,40211
83,56597,40211
84,56597,40081
85,56597,39991
86,56597,39991
87,56597,52821
88,56597,49982
89,56597,49982
90,56597,49846
91,56597,49802
92,56343,49802
93,56343,49802
94,56343,49749
95,56343,49702
96,56343,49572
97,73304,49472
98,73304,49472
99,73304,49472
100,73304,49472
101,73304,49342
102,73304,49212
103,73304,49152
104,73304,49022
105,73304,48892
106,73304,48812
107,73304,48812
108,73304,48629
109,73304,47816
110,73304,57218
111,73304,44587
112,73304,42948
113,73304,42948
114,73304,42948
115,73304,42948
116,73304,42686
117,73304,48132
118,73304,38857
119,73304,38798
120,73304,38745
121,73304,38692
122,73304,38532
123,73304,38406
124,73304,38353
125,73304,38300
126,73304,38247
127,73304,38088
128,73304,38058
129,73304,38005
130,73304,37816
131,73304,37749
132,73304,37696
133,73304,37668
134,73304,37668
135,73304,37668
136,73304,37668
137,73304,37538
138,73304,37355
139,73304,37172
140,73304,36989
141,73304,36698
142,73304,36438
143,73304,36248
144,73304,36218
145,73304,36165
146,73304,36112
147,73304,35559
148,73304,35528
149,73304,35398
150,68378,35268
151,68378,35238
152,68378,35238
153,68378,35238
154,68378,35238
155,68378,35238
156,68378,35238
157,68378,35238
158,68378,35238
159,68378,35238
160,68378,41167
161,68378,30500
162,68378,30098
163,68378,29366
164,68378,29366
165,68111,29366
166,68111,29366
167,68111,29366
168,68111,29366
169,68111,29366
170,68111,29366
171,68111,29366
172,68111,29366
173,67964,29366
174,67871,29366
175,67741,29366
176,67611,29366
177,67481,29366
178,67351,29121
179,67221,28876
180,67091,28726
181,66961,28696
182,66951,28696
183,66951,28696
184,66951,28696
185,66951,28566
186,66951,50283
187,66951,47114
188,66951,47084
189,66951,63109
190,66951,52627
191,66951,52406
192,66951,52270
193,66951,52134
194,66951,51939
195,66951,51620
196,66951,51361
197,66951,51236
198,66951,51130
199,66951,51052
200,66951,51028
201,66951,51028
202,66951,51028
203,66951,51028
204,66951,50975
205,66951,50792
206,66951,50659
207,66951,50106
208,66951,50098
209,66951,50045
210,66951,49939
211,66951,49833
212,66951,49727
213,66951,49621
214,66951,49533
215,66951,49528
216,66951,68149
217,66951,61057
218,66951,50999
219,66951,50754
220,66951,50579
221,66951,50579
222,66951,50579
223,66951,50579
224,66951,50579
225,66951,50579
226,66951,50579
227,66951,50579
228,66951,50579
229,66951,67578
230,66951,65516
231,66951,65312
232,66951,65182
233,66951,65037
234,66951,64922
235,66951,64692
236,66951,64347
237,66951,64084
238,66951,63966
239,66951,63913
240,66951,63872
241,66183,63872
242,65927,63757
243,65927,63682
244,65927,69594
245,65791,62189
246,65707,62059
247,65707,62029
248,65707,62029
249,65707,62029
250,65707,62029
251,65707,62029
252,65707,62029
253,65707,62029
254,65707,62029
255,65707,62029
256,65707,62029
257,65707,62029
258,65707,61899
259,65707,61769
260,65707,61639
261,65571,89897
262,65571,86386
263,65435,85944
264,65299,85624
265,65163,85225
266,65027,85095
267,64967,85095
268,64967,85095
269,64967,84965
270,64967,84720
271,64967,84475
272,64967,84230
273,64967,84025
274,64967,83910
275,64967,83825
276,64967,83825
277,64967,83825
278,64967,83825
279,64831,83710
280,64695,83465
281,64627,82730
282,64366,82675
283,64366,87066
284,63573,79943
285,63437,79943
286,63301,79943
287,60505,79943
288,60369,87811
289,60233,85499
290,60123,82902
291,60123,82855
292,60123,82855
293,60123,82692
294,60123,82639
295,60123,82586
296,60123,82428
297,60123,82345
298,60123,82345
299,60123,82345
300,60123,82345
301,60123,82230
302,60123,82115
303,60123,82095
304,60123,82095
305,60123,81959
306,60123,81875
307,60123,81875
308,60123,81875
309,60123,90602
310,60123,86294
311,60123,86022
312,60123,85895
313,60123,85697
314,60123,85662
315,60123,113543
316,60123,110416
317,60123,109129
318,59330,109076
319,59330,109023
320,59330,108970
321,59330,108917
322,59330,108864
323,59330,108695
324,74897,108435
325,74897,107496
326,74897,107165
327,74897,107049
328,74897,106977
329,74897,106775
330,74349,106703
331,74349,106631
332,74349,106559
333,74349,106505
334,74349,106505
335,74349,106375
336,74349,106245
337,74349,106115
338,73837,105791
339,73837,105498
340,73837,105339
341,73837,105286
342,73837,105233
343,73837,105180
344,73837,105127
345,73837,104944
346,73837,104831
347,73837,104778
348,73837,104725
349,73701,104536
350,73565,104363
351,73429,104227
352,73293,104091
353,73157,103808
354,73077,103675
355,73077,103675
356,73077,103528
357,73077,103435
358,73077,103435
359,73077,103435
360,73077,103435
361,73077,103435
362,73077,103435
363,73077,103435
364,73077,103435
365,73077,103435
366,73077,103435
367,73077,111715
368,73077,98647
369,73077,97128
370,73077,97128
371,73077,96992
372,73077,100276
373,73077,94629
374,73077,94357
375,73077,94085
376,73077,93901
377,73077,93546
378,73077,93340
379,73077,93233
380,73077,93126
381,73077,93077
382,73077,93077
383,73077,93077
384,73077,93077
385,73077,92930
386,73077,92857
387,73077,92857
388,73077,92857
389,73077,92857
390,73077,92857
391,73077,116194
392,73077,115155
393,73077,112611
394,73077,112611
395,73077,112498
396,73077,112445
397,73077,112285
398,73077,112167
399,73077,112060
400,73077,111953
401,73077,111846
402,73077,111761
403,73077,111625
404,73077,111591
405,73077,111591
406,73077,111591
407,73077,111591
408,73077,111591
409,73077,111591
410,73077,111461
411,73077,111331
412,73077,111144
413,73077,111051
414,73077,110551
415,73077,115986
416,73077,104809
417,73077,103901
418,73077,103765
419,73077,103737
420,73077,103737
421,73077,103737
422,73077,103737
423,73077,103737
424,73077,103737
425,73077,103737
426,73077,103497
427,73077,103394
428,73077,103341
429,73077,102788
430,73077,102735
431,73077,102682
432,73077,102629
433,73077,102469
434,73077,102309
435,72211,102220
436,72211,102167
437,72211,102114
438,72211,102061
439,72211,102057
440,72211,102057
441,72211,102057
442,72211,102057
443,72211,102057
444,72211,102057
445,72211,102057
446,72211,102057
447,72211,102057
448,72211,102057
449,72211,101910
450,72211,101763
451,72211,101747
452,72211,101747
453,72158,101747
454,72105,101611
455,72052,101475
456,71999,101339
457,71946,100203
458,71893,100067
459,71840,99997
460,71787,99997
461,71734,99882
462,71681,99767
463,71628,99757
464,71575,99757
465,71522,99757
466,71469,99757
467,71416,99757
468,71363,99757
469,71310,99757
470,71261,99637
471,71261,99637
472,71261,99501
473,71261,99365
474,71261,99229
475,71261,99093
476,71261,98957
477,66945,98887
478,66945,109167
479,66945,102669
480,66945,92372
481,66945,92372
482,66945,91872
483,66945,91736
484,66945,91702
485,66945,91702
486,66945,91702
487,66945,91202
488,66945,91202
489,66945,91202
490,66945,91202
491,66945,90702
492,66945,90702
493,66945,90702
494,66945,90592
495,66892,90592
496,66839,109250
497,66786,115018
498,66733,100241
499,66680,99268
500,66627,98858
501,66574,98743
502,66521,98628
503,66468,98518
504,66154,98518
505,66101,98518
506,66048,98388
507,65995,98298
508,65942,98298
509,65889,98298
510,65836,98298
511,65804,98298
512,65804,98151
513,65804,98098
514,65804,98098
515,65804,98098
516,65804,98045
517,65804,97992
518,65804,97939
519,65804,97886
520,65804,97686
521,65804,97423
522,65804,97287
523,65804,97234
524,65804,97165
525,65804,97112
526,65804,97068
527,65804,97068
528,65804,96568
529,65804,96568
530,65804,96568
531,65804,96568
532,65804,96568
533,65804,104152
534,65804,101622
535,65804,100883
536,65804,100747
537,65804,100683
538,65804,100683
539,65804,100683
540,62597,100683
541,62597,100683
542,62597,100683
543,62597,100683
544,62597,100683
545,62597,100683
546,62597,120652
547,62597,115359
548,62597,115229
549,62597,115099
550,62597,115069
551,62597,115069
552,62597,115069
553,62597,115069
554,62597,114832
555,62597,114659
556,62597,114609
557,62597,114609
558,62597,114609
559,62597,114609
560,62597,114609
561,62597,114609
562,55840,114609
563,55840,114609
564,55840,114609
565,55840,114609
566,54921,114609
567,54921,114609
568,54921,120733
569,54921,117457
570,54921,117321
571,54921,117185
572,54921,117157
573,54921,117157
574,54868,117157
575,54815,117157
576,54762,117157
577,54709,117157
578,54656,117027
579,54603,116897
580,54550,116827
581,54497,126269
582,54444,124224
583,54391,121680
584,54338,121680
585,54285,121680
586,54232,121680
587,54179,121497
588,54126,121314
589,54073,121181
590,54020,121128
591,53967,121075
592,53941,120969
593,53941,120733
594,53941,120497
595,53941,120293
596,53941,120110
597,53941,119927
598,53941,119754
599,53941,119701
600,53941,119648
601,53941,119484
602,53941,119440
603,53941,119440
604,53941,119440
605,53941,119440
606,53941,119440
607,53941,119440
608,53941,119440
609,53941,119440
610,53941,119440
611,53941,119440
612,53941,119333
613,53941,119226
614,53941,119140
615,53941,119140
616,53941,119140
617,53941,119140
618,53941,119140
619,53941,119140
620,53941,119140
621,53941,119140
622,53941,118640
623,53941,117993
624,53941,117846
625,53941,117699
626,53941,123139
627,53941,112579
628,53941,112160
629,53941,112082
630,51397,112082
631,51397,112082
632,51397,112082
633,51397,112082
634,51397,112082
635,51397,112082
636,51397,111972
637,51397,111972
638,51397,111972
639,51397,111972
640,51397,111972
641,51397,111972
642,51397,111972
643,51397,111836
644,51397,111742
645,51397,111742
646,51397,111742
647,51397,111742
648,51397,111742
649,51397,111742
650,51397,111742
651,51397,111742
652,51397,111612
653,51397,110982
654,51397,110852
655,51397,110742
656,51397,110742
657,51397,110742
658,51397,110742
659,51397,110742
660,51397,110742
661,51397,110742
662,51397,110742
663,51397,110742
664,51397,102840
665,51397,102750
666,51397,102643
667,51397,102630
668,51397,102347
669,51397,109845
670,51397,107666
671,51397,107258
672,51397,107111
673,51397,106964
674,51397,106770
675,51397,106706
676,51397,106706
677,51397,106533
678,51397,106427
679,51397,106321
680,51397,106217
681,51397,106164
682,51397,106111
683,51397,106058
684,51397,106005
685,51397,105986
686,51397,105856
687,51397,105596
688,51344,105436
689,51291,105306
690,51238,105176
691,51185,104993
692,51132,104900
693,51079,104847
694,51026,104687
695,50973,104552
696,50920,104445
697,50867,124200
698,50814,122399
699,50761,126539
700,50708,125526
701,50655,125254
702,50602,124532
703,50549,122857
704,50496,122804
705,50477,122104
706,50477,121915
707,50477,121809
708,50477,121728
709,50477,121605
710,50477,121410
711,50477,121263
712,50477,121009
713,50477,120755
714,50477,120572
715,50477,120517
716,50477,120370
717,50477,120317
718,50477,120317
719,50477,120317
720,50477,151007
721,50477,136186
722,50477,135925
723,50477,142886
724,50477,142630
725,50191,141055
726,50191,141055
727,50191,141055
728,50191,141055
729,50191,141002
730,50191,140819
731,50191,140736
732,50191,140683
733,50191,140665
734,50191,140665
735,50191,140518
736,50191,140452
737,50191,140399
738,50191,140216
739,50191,140075
740,50191,139798
741,50191,139521
742,50191,139274
743,50191,139127
744,50191,143233
745,50191,142420
746,50191,139876
747,50191,139876
748,50191,139876
749,50191,139876
750,50191,139823
751,50191,139770
752,50191,139717
753,50191,139664
754,50191,139611
755,50191,139558
756,50191,139463
757,50191,139295
758,50191,139157
759,50191,139146
760,50191,139146
761,50191,139146
762,50191,139093
763,50191,139040
764,50191,138987
765,50191,138934
766,50191,138906
767,50191,138906
768,50191,138906
769,50191,138406
770,50191,138406
771,50191,138406
772,50191,138406
773,50191,138299
774,50191,137786
775,50191,142947
776,50191,135602
777,50191,135602
778,50191,135602
779,50191,135602
780,50191,135466
781,50191,135432
782,50191,135362
783,50191,135362
784,50191,135362
785,50191,135362
786,50191,135362
787,50191,135362
788,50191,135362
789,49935,135362
790,49935,135362
791,49805,135362
792,49675,140272
793,49545,136993
794,49415,136993
795,49285,136993
796,49155,136993
797,49025,136993
798,48965,136857
799,48965,136658
800,48965,136413
801,48965,160153
802,48965,156508
803,48965,154979
804,48965,154646
805,48965,154337
806,48965,154284
807,48965,154178
808,48965,154072
809,48965,153966
810,48965,153730
811,48965,153414
812,48965,153246
813,48965,153173
814,48965,153067
815,48835,152977
816,48705,152933
817,48575,152933
818,48445,152803
819,48315,152526
820,48185,152113
821,48055,151700
822,48015,151365
823,48015,151223
824,48015,151163
825,48015,151163
826,48015,151033
827,48015,150903
828,48015,150773
829,48015,150643
830,48015,150563
831,48015,150563
832,48015,150563
833,48015,150563
834,48015,150563
835,48015,150563
836,48015,150563
837,48015,150563
838,48015,150563
839,43089,150563
840,43089,150063
841,43089,150063
842,43089,150063
843,43089,150063
844,43089,149933
845,43089,149803
846,43089,149773
847,43089,149773
848,43089,149773
849,43089,149773
850,43089,149773
851,43089,149773
852,43089,149773
853,43089,149773
854,43089,149773
855,43089,149773
856,43089,149773
857,43089,149773
858,43089,149773
859,43089,149773
860,43089,149773
861,43089,149273
862,43089,149273
863,43089,149273
864,43089,149273
865,43089,149273
866,43089,149273
867,43089,149273
868,43089,149273
869,43089,149273
870,43089,149273
871,43089,155310
872,43089,151498
873,42306,151237
874,42306,151237
875,42306,151101
876,42170,150987
877,42034,150987
878,41898,150987
879,41816,150987
880,41816,150987
881,41816,150851
882,41816,150715
883,41816,150587
884,41816,150534
885,41816,150428
886,41816,150192
887,41816,149956
888,41816,149720
889,41816,149417
890,41816,149187
891,41686,149057
892,41556,148927
893,41426,148797
894,41296,148737
895,41166,148737
896,41036,148601
897,40936,148465
898,40936,148276
899,40936,148087
900,40936,147898
901,40936,147805
902,40936,147752
903,40936,147699
904,40936,147657
905,40936,147657
906,40936,147657
907,40936,147657
908,40936,147657
909,40936,147657
910,40936,158653
911,40936,158653
912,40936,158653
913,40936,158653
914,40936,158653
915,40936,158653
916,40936,158653
917,40936,158653
918,40936,158653
919,40936,158653
920,40936,158653
921,40936,158153
922,40936,158153
923,40936,158153
924,40936,158153
925,40936,158153
926,40936,158153
927,40936,158153
928,40936,158153
929,40936,158153
930,40936,158100
931,40936,158073
932,40936,158073
933,40936,158073
934,40936,158073
935,40936,158073
936,40936,157926
937,40671,157779
938,40671,157632
939,40671,157623
940,40671,157623
941,40671,157623
942,40671,157623
943,40671,157623
944,40671,157623
945,40671,157623
946,40671,157623
947,40671,157623
948,40671,157623
949,40671,157623
950,40671,157623
951,40671,157623
952,40671,157623
953,40671,157623
954,40671,157623
955,40671,157623
956,40671,157623
957,40671,157623
958,40671,157623
959,40671,157623
960,40671,157623
961,40671,157623
962,40671,164839
963,40671,164839
964,40671,164839
965,40671,164839
966,40671,164839
967,40671,164839
968,40671,164839
969,40671,164839
970,40671,164839
971,40671,164839
972,40671,164839
973,40541,164839
974,40411,164839
975,40281,164839
976,40151,164839
977,40021,164839
978,39891,164839
979,39761,164839
980,39761,164839
981,39761,164839
982,39761,164839
983,39761,164839
984,39761,164839
985,39761,164839
986,39761,164839
987,39761,164839
988,39761,164839
989,39761,164839
990,39761,164839
991,39761,164839
992,37258,164839
993,37258,164839
994,37258,164839
995,37258,164839
996,37258,164839
997,37258,164839
998,37258,164839
999,37258,164839
1000,37258,164839
