Step,Flisvos-2016,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,46622,50000
14,46572,50000
15,46562,50000
16,46562,50000
17,46562,50000
18,45027,50000
19,45027,50000
20,45027,50000
21,45027,50000
22,45027,50000
23,45027,50000
24,45027,50000
25,45027,50000
26,44941,50000
27,44867,50000
28,44867,50000
29,44781,50000
30,44695,50000
31,44609,50000
32,44607,50000
33,44607,50000
34,44607,50000
35,44607,50000
36,44607,50000
37,44607,50000
38,44521,48894
39,44435,48894
40,44349,45376
41,44263,45376
42,44257,45091
43,44257,44324
44,44257,44025
45,44257,43760
46,30739,43760
47,30739,43465
48,30739,43465
49,30739,43465
50,30739,43465
51,30739,43329
52,30628,43193
53,30517,43049
54,37687,42953
55,37515,42925
56,37343,42925
57,25137,42925
58,24653,42925
59,24449,42925
60,24288,42925
61,24177,45689
62,24114,45689
63,24114,45689
64,24114,45689
65,24114,45689
66,17147,45689
67,15562,45689
68,15512,45689
69,15462,45603
70,15362,45517
71,15262,45517
72,15046,45517
73,14882,45517
74,14782,45517
75,14682,45517
76,14582,45517
77,14532,45517
78,14482,45517
79,14432,45517
80,14241,45431
81,14080,45289
82,14012,45195
83,14012,45143
84,14012,45143
85,14012,45143
86,14012,44994
87,14012,44724
88,14012,44583
89,14012,44515
90,14012,44515
91,14012,44515
92,14012,44515
93,14012,44515
94,13926,44515
95,13840,44515
96,13677,44515
97,13578,44515
98,13512,44515
99,13512,44515
100,13512,44515
101,13512,44015
102,13512,44015
103,13512,44015
104,13512,44015
105,13426,44015
106,13254,44015
107,13120,44015
108,13034,43965
109,12948,43965
110,12862,43901
111,12776,43901
112,12690,43841
113,12604,43841
114,12522,43841
115,12522,43841
116,12522,43841
117,12522,43841
118,12522,43841
119,12522,43841
120,12522,42789
121,12522,42789
122,12522,41204
123,12522,41204
124,12522,41204
125,12522,41204
126,12522,41204
127,12522,38826
128,12522,38826
129,12522,38826
130,12522,38765
131,12022,38704
132,12022,38643
133,12022,38596
134,12002,36925
135,12002,36839
136,12002,35288
137,12002,35288
138,12002,35005
139,11502,35005
140,11416,34690
141,11330,33133
142,10744,33083
143,10658,33033
144,10572,32983
145,10486,32806
146,10402,32653
147,10402,32603
148,10402,32503
149,10312,32403
150,10312,31803
151,10312,31753
152,10312,31703
153,10312,31653
154,10312,31653
155,10312,31653
156,10312,31653
157,29900,30089
158,26475,30089
159,13788,30089
160,13788,30089
161,13788,30089
162,13738,30089
163,13688,40147
164,13638,40147
165,13598,27268
166,13598,27268
167,13598,26975
168,13598,26690
169,13462,26149
170,34965,25885
171,21498,25885
172,21398,25885
173,21298,25885
174,21198,25885
175,21098,25885
176,20998,25799
177,20848,16008
178,20698,15990
179,20608,15990
180,20058,15990
181,20008,15929
182,19998,15868
183,19998,15807
184,19921,15760
185,19844,15619
186,19618,15520
187,19374,15469
188,19266,15418
189,19180,15317
190,19178,15216
191,33158,15115
192,31385,15050
193,31385,15000
194,31308,14950
195,31231,14920
196,31185,14920
197,31185,14920
198,31185,14920
199,17998,14920
200,17998,14920
201,17912,14920
202,17826,14920
203,38350,14920
204,32642,14920
205,29871,14920
206,29785,14870
207,29625,14820
208,29453,14270
209,29281,14230
210,29167,18206
211,29081,18206
212,28913,18206
213,28785,18206
214,28618,18206
215,28517,33572
216,28330,33572
217,28163,33572
218,28026,33572
219,27913,33572
220,27881,33572
221,27881,33572
222,27881,33572
223,27881,33572
224,27881,33572
225,27881,33572
226,27820,33572
227,27682,61505
228,26919,59066
229,25608,59066
230,25411,44815
231,25214,44765
232,25017,42276
233,24858,42226
234,24722,42176
235,24586,42176
236,24470,42176
237,24384,41868
238,24298,41116
239,24212,41055
240,24188,39380
241,24102,39269
242,23930,39202
243,23708,39152
244,23514,39132
245,23378,39132
246,23103,39132
247,22809,39046
248,22688,38526
249,22688,38291
250,22688,38147
251,22688,38097
252,22688,38047
253,22688,37997
254,22688,37947
255,22688,37907
256,22688,28487
257,9951,28487
258,9901,28487
259,9765,28487
260,9701,28487
261,9651,28487
262,9601,28401
263,9051,28300
264,9011,28223
265,9011,28070
266,9011,27993
267,9011,27967
268,8511,27890
269,8511,27813
270,31757,27737
271,28789,27737
272,28004,27737
273,26300,27737
274,22647,27737
275,22596,27737
276,22447,27737
277,22447,18317
278,22447,40342
279,22447,40342
280,22370,40342
281,22243,40342
282,22116,40342
283,22007,44505
284,21957,44505
285,21907,44505
286,21847,43753
287,21657,43753
288,21607,43535
289,21557,43317
290,21537,43243
291,21537,43243
292,21537,42226
293,21451,42226
294,21387,40409
295,21387,40409
296,21310,37970
297,21233,37970
298,21156,37970
299,21079,37884
300,21002,37712
301,20927,37548
302,20927,37440
303,20877,37339
304,20827,37238
305,20777,35602
306,20727,35415
307,20677,35248
308,20627,35169
309,20577,35135
310,20527,35135
311,20477,35135
312,34691,35085
313,20888,35035
314,18275,34985
315,18225,34935
316,18175,41663
317,18125,41613
318,18075,41513
319,18025,41413
320,17475,41343
321,17385,41293
322,17335,41243
323,17305,41243
324,17255,41243
325,17205,37449
326,17155,37449
327,17105,37156
328,17105,37156
329,17105,37156
330,17105,33503
331,17105,33503
332,16605,33503
333,16605,33503
334,16519,33503
335,16475,33237
336,16475,33237
337,16475,20358
338,16475,20358
339,16475,58995
340,16475,58995
341,16475,58995
342,16475,58995
343,16475,58823
344,16475,58651
345,16475,58595
346,16475,58595
347,16475,58595
348,16389,58509
349,16335,58423
350,73643,58337
351,63658,58255
352,62193,58255
353,62193,58255
354,62193,58255
355,62193,58255
356,62193,57755
357,62143,57755
358,62093,57755
359,62043,57755
360,61993,57755
361,61943,56252
362,61827,54717
363,61741,54717
364,61663,54452
365,61163,50799
366,61163,63223
367,61163,63223
368,61163,62961
369,61133,62961
370,61133,62961
371,61133,62961
372,61133,62961
373,61133,62461
374,61133,62461
375,61133,62375
376,61133,62289
377,60984,62261
378,60835,62261
379,60636,62184
380,60467,62111
381,60363,62111
382,60313,62025
383,60263,61939
384,83911,61853
385,83861,61851
386,83811,61541
387,83761,61541
388,83711,61464
389,83661,61387
390,83651,61341
391,83651,61341
392,83651,61341
393,83651,61264
394,83651,58502
395,83651,58446
396,83651,58446
397,83651,58446
398,83651,58446
399,83651,58446
400,83651,58385
401,83651,58324
402,83651,58263
403,83651,58202
404,83651,58089
405,83651,57727
406,83651,57650
407,83651,64776
408,83651,64776
409,83651,64512
410,83651,64512
411,83651,64512
412,83651,64512
413,83651,64512
414,83651,64512
415,83651,64512
416,83651,64512
417,83651,64512
418,83651,64512
419,83651,64512
420,83651,64512
421,83651,91173
422,83651,89622
423,83651,89459
424,83651,87841
425,83651,87795
426,83651,87530
427,83651,87530
428,83651,87264
429,83651,87264
430,83151,87264
431,83151,87264
432,83151,87264
433,83151,87264
434,83151,94092
435,82651,94015
436,82651,93673
437,82651,93596
438,82651,92960
439,82651,92948
440,82651,92948
441,82651,92948
442,82651,88699
443,82581,88550
444,82581,88139
445,82581,88139
446,82581,88062
447,82581,87985
448,71291,87929
449,71207,85244
450,71207,85244
451,71207,85158
452,71207,85072
453,71207,84963
454,71207,84902
455,68530,84841
456,68530,84814
457,68381,84814
458,68232,84814
459,68150,84814
460,86803,84814
461,86773,91563
462,86773,91563
463,86773,91563
464,86773,91563
465,86773,82143
466,86773,82143
467,86773,82143
468,86773,82143
469,86773,82143
470,86773,82143
471,86773,82057
472,86773,81718
473,86773,81632
474,86773,81546
475,86773,81311
476,86773,80916
477,86773,87661
478,86773,87661
479,86773,87661
480,86773,87600
481,86773,87539
482,85977,87478
483,85977,85996
484,85927,85996
485,85877,85946
486,85827,85896
487,85777,85226
488,85727,85176
489,85677,83546
490,85627,83429
491,85577,83352
492,85527,83343
493,85477,83343
494,85427,83343
495,85377,83343
496,85241,83343
497,85105,83343
498,84999,83343
499,84913,83343
500,84827,83293
501,84741,83243
502,84655,83193
503,84569,83163
504,84483,83163
505,84397,83163
506,84311,83163
507,84247,82635
508,84197,82635
509,84147,82635
510,84097,82635
511,83997,82635
512,83897,82635
513,83797,86476
514,83197,86476
515,83097,86476
516,83007,86476
517,82457,86476
518,82457,86476
519,82457,85976
520,82457,85890
521,82457,85804
522,82457,85756
523,82457,85756
524,82457,85706
525,82457,85656
526,82407,85606
527,82387,85407
528,82387,85316
529,82387,85316
530,82387,85316
531,82387,85316
532,82387,85316
533,100262,85316
534,82358,82631
535,82308,82631
536,81758,82631
537,81708,82631
538,81608,82570
539,81558,82509
540,81508,86806
541,81498,103815
542,81498,103809
543,81498,103809
544,81498,103809
545,81448,103809
546,81398,103809
547,81298,103809
548,81198,103809
549,81148,103809
550,81098,103520
551,81048,103443
552,80877,103366
553,80736,101756
554,80509,101679
555,80348,101602
556,80348,101526
557,80348,101449
558,80348,101372
559,80348,101296
560,80348,101219
561,80348,101142
562,80348,100916
563,80199,100668
564,80050,100529
565,79901,100402
566,79752,100275
567,79603,100148
568,79528,100076
569,79528,107582
570,79528,107582
571,79528,107019
572,70108,107019
573,70108,107019
574,70108,107019
575,70108,107019
576,69608,107019
577,69608,107019
578,69608,107019
579,69608,107019
580,69608,107019
581,69608,105504
582,69558,105454
583,69558,105109
584,69558,105059
585,69558,105009
586,69558,114336
587,69558,114259
588,69058,113917
589,69058,113908
590,69058,113328
591,69058,113328
592,69058,113328
593,69058,113328
594,69058,113328
595,69058,112957
596,69058,112896
597,69058,112835
598,68917,112713
599,68776,112616
600,68635,112555
601,68494,112498
602,68353,112498
603,68348,112412
604,68348,112326
605,68348,111955
606,68348,111953
607,68348,111953
608,97055,111953
609,92384,111953
610,90849,111953
611,90849,110291
612,90849,110164
613,90849,110048
614,90849,109998
615,90849,109887
616,90849,109736
617,90849,109625
618,90849,109514
619,90849,109382
620,90663,109260
621,90577,108873
622,90491,106461
623,90405,106350
624,90319,106295
625,90233,106255
626,90147,106255
627,88555,106255
628,88555,103570
629,88555,103570
630,88555,102035
631,88555,102035
632,88555,99350
633,88555,99350
634,88555,99350
635,88555,99350
636,88555,99350
637,88555,99350
638,88555,99350
639,88555,99350
640,88555,99350
641,88555,99350
642,88555,104028
643,88555,104028
644,88555,104028
645,88478,104028
646,88401,104028
647,88324,104028
648,88247,104028
649,88195,104028
650,88195,104028
651,88195,104028
652,88195,104028
653,88195,104028
654,88195,103175
655,88195,103089
656,88195,100743
657,88195,100743
658,87695,100743
659,87195,106712
660,87195,106712
661,87195,106712
662,87195,106281
663,87195,106143
664,86695,106026
665,86695,105969
666,86685,105969
667,86685,105969
668,86685,105969
669,86685,104434
670,86685,116406
671,86685,116320
672,86685,116234
673,86685,116166
674,86545,116080
675,86545,115994
676,86545,115908
677,86545,115906
678,86545,115906
679,86545,115906
680,86545,115906
681,86545,115906
682,86495,115906
683,85945,115906
684,85895,115829
685,85845,115766
686,85795,115766
687,85745,115766
688,85695,115766
689,85645,115766
690,85595,115766
691,85545,115766
692,85515,115766
693,98191,115766
694,87839,103079
695,85375,103079
696,85289,102771
697,85203,102771
698,85117,102486
699,85040,102486
700,84963,100669
701,84886,109101
702,84809,107598
703,84807,107598
704,84807,107598
705,84807,107512
706,84807,107299
707,84807,107144
708,84807,107017
709,84807,106664
710,84807,106299
711,84807,106107
712,84807,105980
713,84807,105704
714,84807,105428
715,84721,102853
716,84635,101226
717,84549,101176
718,84463,99623
719,84386,99573
720,84325,99213
721,84264,99163
722,68292,99113
723,68231,99006
724,68196,98929
725,68196,98852
726,68146,98689
727,68096,98442
728,68066,98343
729,68066,98343
730,68066,98343
731,68066,98048
732,68016,98048
733,67966,97962
734,67916,97908
735,67876,97908
736,67376,97565
737,67376,97515
738,66876,97465
739,66876,97415
740,66876,97385
741,66876,96885
742,66876,96885
743,66876,96885
744,66729,96885
745,66652,96885
746,66575,96885
747,66498,96885
748,66331,93936
749,66254,93936
750,66177,93936
751,66100,93936
752,66066,93936
753,66066,93936
754,66066,93875
755,66066,92279
756,66066,92218
757,66066,92071
758,66066,91924
759,66066,91777
760,66016,91687
761,61476,91620
762,59042,91509
763,55253,91398
764,55117,91287
765,54981,91251
766,54696,91251
767,54325,91251
768,54026,91251
769,53931,91251
770,53431,91251
771,53431,91251
772,53272,120032
773,53111,120032
774,73445,120032
775,73395,120032
776,73345,120032
777,73295,120032
778,73245,120032
779,73195,120032
780,73145,120032
781,73095,120032
782,73045,120032
783,72995,120032
784,72895,119982
785,72795,119932
786,72745,119882
787,72695,119832
788,72594,119822
789,99899,119822
790,99798,119822
791,99721,128786
792,99671,128786
793,99651,128786
794,99651,128786
795,99651,128786
796,99651,128786
797,99651,128786
798,99651,128786
799,99651,128686
800,99651,128313
801,99651,128213
802,99651,127561
803,99651,127541
804,99651,127541
805,99651,127541
806,99651,127491
807,99651,127391
808,83538,127291
809,83038,125633
810,100193,125204
811,100193,123699
812,100143,123598
813,100093,123532
814,100043,123446
815,100013,131943
816,100013,131895
817,100013,131895
818,99927,131895
819,99841,131895
820,99704,131895
821,99567,131895
822,99344,131895
823,99121,131895
824,98898,131895
825,98723,131629
826,98586,131629
827,98465,131629
828,98414,131543
829,98393,131457
830,98393,130637
831,98307,130637
832,98221,129732
833,98135,129682
834,98049,129582
835,97963,129482
836,97852,129412
837,97801,129362
838,97750,129342
839,97699,129342
840,97648,135238
841,97520,135238
842,97392,135238
843,96783,135238
844,96783,135238
845,96783,131444
846,96783,131367
847,96697,129531
848,96611,129485
849,96525,129485
850,96439,129435
851,96353,126946
852,80132,126846
853,80018,126482
854,80018,124818
855,80018,123183
856,80018,123103
857,80018,123053
858,79968,123023
859,79918,122962
860,79868,122901
861,79868,122840
862,79868,122823
863,79868,122823
864,79868,122823
865,79868,122823
866,79868,122682
867,79868,122553
868,55870,122553
869,54405,122553
870,54355,122553
871,54305,122553
872,81276,122553
873,81226,127593
874,81226,127507
875,81226,127421
876,81226,127335
877,81176,126793
878,81126,140875
879,81076,140875
880,81026,137081
881,80976,137081
882,80426,137081
883,80406,136529
884,80265,136092
885,80124,135627
886,79983,135511
887,79842,135245
888,79701,135245
889,79560,135245
890,79546,135245
891,79546,135168
892,79546,135091
893,79046,134929
894,78996,132465
895,78946,132457
896,78896,132457
897,78846,132457
898,78745,132457
899,78644,132172
900,78546,132172
901,78496,132172
902,78396,132172
903,78326,132172
904,78326,132172
905,78326,132172
906,78326,132172
907,78326,132172
908,78326,135673
909,78326,135673
910,78326,135673
911,78326,135673
912,78326,135587
913,78326,135501
914,78326,135473
915,78326,135473
916,78326,135473
917,78177,135473
918,78028,135473
919,77879,135473
920,77730,135473
921,77581,135387
922,77566,145229
923,103441,145201
924,103391,145201
925,103341,145201
926,103291,145201
927,103241,145201
928,103191,145201
929,103141,145201
930,103111,145201
931,103111,150358
932,103111,150358
933,103111,150358
934,143326,150358
935,143326,150358
936,143326,150358
937,143326,150358
938,143276,150358
939,143077,150358
940,142878,150358
941,142796,150358
942,142746,150358
943,142696,150358
944,142646,150358
945,142596,150358
946,142546,150358
947,142496,150358
948,142446,150358
949,142396,150358
950,142346,150358
951,142296,150358
952,142246,150358
953,142196,150358
954,142196,150358
955,142110,150358
956,142024,150358
957,141938,150358
958,141852,150358
959,141766,150358
960,141696,150358
961,141696,150358
962,141696,150358
963,141696,150358
964,141696,150358
965,141696,150358
966,141696,150358
967,141696,150358
968,141696,150358
969,141696,150358
970,141696,150358
971,141696,150358
972,141696,150358
973,141696,150358
974,141696,150358
975,141696,150358
976,141555,150358
977,141414,150358
978,141273,150358
979,141132,150358
980,140991,150358
981,140856,150358
982,140856,150358
983,140856,150358
984,140856,150358
985,140856,150358
986,140856,150358
987,140856,150358
988,140856,150358
989,140856,150358
990,140856,150358
991,140856,150358
992,140856,150358
993,140856,150358
994,140856,150358
995,140856,150358
996,140856,150358
997,140856,150358
998,140856,150358
999,140856,150358
1000,140856,150358
