Step,PUCRS,Python-DTU
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,50000
16,50000,50000
17,50000,47891
18,50000,47891
19,48371,47891
20,43550,47891
21,30321,47891
22,29466,47891
23,28398,47891
24,28398,47891
25,28102,47891
26,25370,47891
27,25370,47891
28,25370,47891
29,22329,47891
30,22329,47891
31,22329,47891
32,22329,47891
33,22329,47891
34,22329,47891
35,35365,47891
36,35365,47891
37,35365,47891
38,35365,47769
39,63080,47671
40,62282,47671
41,62282,47671
42,62282,47671
43,62182,47671
44,62082,47671
45,60858,47671
46,67020,47671
47,67020,47671
48,67020,47671
49,67020,47671
50,67020,47671
51,67020,47671
52,67020,47671
53,67020,47671
54,66362,47671
55,66294,47671
56,66294,47671
57,63770,47671
58,63770,47671
59,52570,47671
60,52570,47671
61,52570,47671
62,35558,47671
63,35458,47671
64,35448,47671
65,35448,47671
66,35448,47671
67,35448,47671
68,35448,47671
69,35326,47671
70,41694,47671
71,41694,47671
72,41694,47671
73,41694,47671
74,41694,47671
75,38967,47671
76,38967,47671
77,38967,47671
78,38967,47671
79,37438,47671
80,37438,47671
81,37142,47671
82,37142,47671
83,25676,47671
84,25676,47671
85,23030,47671
86,13611,47671
87,13515,47671
88,11013,47671
89,10901,47671
90,9119,47671
91,9119,47671
92,9119,47671
93,9119,47671
94,9119,47671
95,9119,47671
96,9037,47671
97,8955,47671
98,60749,47671
99,60685,47671
100,60685,47671
101,60685,47671
102,60685,47671
103,60685,47671
104,60685,47671
105,60685,47671
106,60685,47671
107,60685,47671
108,60685,47671
109,60685,47671
110,60685,47671
111,82696,47671
112,82608,47671
113,82608,47671
114,82308,47671
115,82008,47671
116,81830,47671
117,81788,47671
118,61381,47671
119,61263,47671
120,59529,47671
121,59529,47671
122,56252,47671
123,56252,47671
124,56252,47671
125,56152,47671
126,56052,47671
127,55776,47671
128,69228,47671
129,69228,47671
130,69228,47671
131,69228,47671
132,69228,47671
133,69228,47671
134,69228,47671
135,69228,47671
136,69228,47671
137,69228,47671
138,69228,47671
139,69228,47671
140,76672,47671
141,76672,47671
142,76672,47671
143,76672,47671
144,76672,47671
145,76672,47671
146,76611,47671
147,73464,47671
148,73403,47671
149,72539,47671
150,129355,47671
151,129355,47671
152,129355,47671
153,129355,47671
154,126780,47671
155,126780,47671
156,123443,47671
157,123443,47671
158,114146,47671
159,114146,47671
160,114146,47671
161,114146,47671
162,111657,47671
163,111596,47671
164,109033,47671
165,108972,47671
166,108605,47671
167,108580,47671
168,108580,47671
169,108580,47671
170,129647,47671
171,129647,47671
172,129647,47671
173,129647,47671
174,129647,47671
175,129647,47671
176,129647,47671
177,129364,47671
178,129364,47671
179,129075,47671
180,128531,47671
181,128531,47671
182,128531,47671
183,127096,47671
184,127096,47671
185,126321,47671
186,126321,47671
187,126321,47671
188,126321,47671
189,126321,47671
190,126321,47671
191,126321,47671
192,126321,47671
193,126321,47671
194,126321,47671
195,126321,47671
196,126321,47671
197,126321,47671
198,126209,47671
199,125597,47671
200,125561,47671
201,125561,47671
202,125561,47671
203,125561,47671
204,125561,47671
205,136284,47671
206,136284,47671
207,136284,47671
208,136169,47671
209,136084,47671
210,136084,47671
211,136084,47671
212,135584,47671
213,135584,47671
214,135584,47671
215,135584,47671
216,135584,47671
217,135584,47671
218,144602,47671
219,144602,47671
220,144602,47671
221,144602,47671
222,144602,47671
223,144602,47671
224,144602,47671
225,144602,47671
226,144602,47671
227,144602,47671
228,144602,47671
229,144602,47671
230,144602,47671
231,150313,47671
232,150313,47671
233,147851,47671
234,147851,47671
235,147851,47671
236,147851,47671
237,145398,47671
238,145398,47671
239,145109,47671
240,145109,47671
241,144746,47671
242,144630,47671
243,144242,47671
244,144146,47671
245,144085,47671
246,143947,47671
247,141383,47671
248,141307,47671
249,139620,47671
250,139520,47671
251,139126,47671
252,139021,47671
253,138702,47671
254,138702,47671
255,138124,47671
256,138124,47671
257,144842,47671
258,144842,47671
259,144464,47671
260,144359,47671
261,144254,47671
262,144249,47671
263,144249,47671
264,144249,47671
265,144249,47671
266,144094,47671
267,140662,47671
268,140577,47671
269,140522,47671
270,140467,47671
271,123530,47671
272,123530,47671
273,121901,47671
274,121901,47671
275,109988,47671
276,109988,47671
277,109988,47671
278,109988,47671
279,109988,47671
280,109988,47671
281,116661,47671
282,116661,47671
283,116661,47671
284,116661,47671
285,116661,47671
286,116661,47671
287,116549,47671
288,173190,47671
289,173094,47671
290,173094,47671
291,173094,47671
292,173033,47671
293,172683,47671
294,172622,47671
295,155653,47671
296,155653,47671
297,154048,47671
298,154048,47671
299,154048,47671
300,162429,47671
301,162429,47671
302,162429,47671
303,162429,47671
304,160120,47671
305,160008,47671
306,159900,47671
307,142117,47671
308,141995,47671
309,141581,47671
310,141451,47671
311,141321,47671
312,130310,47671
313,130290,47671
314,126333,47671
315,126333,47671
316,114483,47671
317,96600,47671
318,96560,47671
319,96142,47671
320,96084,47671
321,96084,47671
322,96084,47671
323,96018,47671
324,95952,47671
325,95886,47671
326,95820,47671
327,95754,47671
328,95688,47671
329,95664,47671
330,130588,47671
331,130588,47671
332,130588,47671
333,130588,47671
334,130588,47671
335,199888,47671
336,199888,47671
337,199888,47671
338,199888,47671
339,199888,47671
340,199888,47671
341,199888,47671
342,199888,47671
343,229564,47671
344,229268,47671
345,228972,47671
346,228972,47671
347,228972,47671
348,228664,47671
349,228664,47671
350,228392,47671
351,228392,47671
352,228392,47671
353,228392,47671
354,228262,47671
355,228242,47671
356,228242,47671
357,228120,47671
358,228052,47671
359,228052,47671
360,225624,47671
361,222583,47671
362,210801,47671
363,210801,47671
364,210801,47671
365,210801,47671
366,218654,47671
367,218532,47671
368,218426,47671
369,218221,47671
370,218016,47671
371,217976,47671
372,217976,47671
373,217976,47671
374,217976,47671
375,217976,47671
376,217976,47671
377,217976,47671
378,217976,47671
379,217976,47671
380,217976,47671
381,217976,47671
382,245801,47671
383,245801,47671
384,244196,47671
385,244196,47671
386,243862,47671
387,243807,47671
388,241240,47671
389,241185,47671
390,240821,47671
391,240491,47671
392,240481,47671
393,240481,47671
394,240351,47671
395,237225,47671
396,234797,47671
397,233980,47671
398,233914,47671
399,233782,47671
400,233375,47671
401,233243,47671
402,233195,47671
403,233195,47671
404,233195,47671
405,238896,47671
406,238896,47671
407,238896,47671
408,236413,47671
409,236358,47671
410,236303,47671
411,236223,47671
412,235668,47671
413,235613,47671
414,235578,47671
415,235578,47671
416,235466,47671
417,235354,47671
418,235242,47671
419,235178,47671
420,235178,47671
421,235178,47671
422,233649,47671
423,233649,47671
424,232044,47671
425,232044,47671
426,231655,47671
427,231555,47671
428,229032,47671
429,229032,47671
430,229032,47671
431,229032,47671
432,229032,47671
433,228966,47671
434,240103,47671
435,239984,47671
436,239923,47671
437,239862,47671
438,239855,47671
439,239855,47671
440,239740,47671
441,239635,47671
442,239360,47671
443,239360,47671
444,239360,47671
445,239360,47671
446,239360,47671
447,237755,47671
448,237640,47671
449,237535,47671
450,244378,47671
451,244280,47671
452,244280,47671
453,244280,47671
454,244280,47671
455,244280,47671
456,244280,47671
457,253609,47671
458,253609,47671
459,253609,47671
460,253609,47671
461,252809,47671
462,252809,47671
463,252809,47671
464,251724,47671
465,251724,47671
466,249415,47671
467,249415,47671
468,245805,47671
469,245805,47671
470,245805,47671
471,245805,47671
472,245805,47671
473,245700,47671
474,245595,47671
475,245575,47671
476,245445,47671
477,245193,47671
478,244975,47671
479,244780,47671
480,244545,47671
481,244405,47671
482,244405,47671
483,244405,47671
484,244405,47671
485,244339,47671
486,244207,47671
487,244075,47671
488,243943,47671
489,243831,47671
490,243765,47671
491,248756,47671
492,248756,47671
493,248756,47671
494,248477,47671
495,248477,47671
496,246622,47671
497,246622,47671
498,246622,47671
499,246622,47671
500,246622,47671
501,245017,47671
502,245017,47671
503,242555,47671
504,242555,47671
505,242283,47671
506,242283,47671
507,242283,47671
508,242283,47671
509,242283,47671
510,242283,47671
511,242283,47671
512,242283,47671
513,242283,47671
514,242283,47671
515,242283,47671
516,242283,47671
517,242283,47671
518,249759,47671
519,249759,47671
520,249759,47671
521,260547,47671
522,260547,47671
523,260547,47671
524,258942,47671
525,258942,47671
526,258942,47671
527,258881,47671
528,248041,47671
529,247980,47671
530,245310,47671
531,245310,47671
532,245310,47671
533,244455,47671
534,244455,47671
535,244325,47671
536,244073,47671
537,243915,47671
538,243785,47671
539,241416,47671
540,241294,47671
541,241172,47671
542,241126,47671
543,241126,47671
544,240839,47671
545,240839,47671
546,240552,47671
547,240552,47671
548,240486,47671
549,240420,47671
550,240354,47671
551,240288,47671
552,240222,47671
553,245366,47671
554,243639,47671
555,243581,47671
556,243581,47671
557,243581,47671
558,243581,47671
559,243581,47671
560,241128,47671
561,241128,47671
562,241128,47671
563,267935,47671
564,267869,47671
565,267803,47671
566,267801,47671
567,267801,47671
568,267801,47671
569,267801,47671
570,267522,47671
571,267522,47671
572,266601,47671
573,266535,47671
574,266469,47671
575,266437,47671
576,255556,47671
577,255182,47671
578,255116,47671
579,252527,47671
580,249947,47671
581,249561,47671
582,249232,47671
583,249110,47671
584,248988,47671
585,248366,47671
586,248258,47671
587,248197,47671
588,248136,47671
589,248075,47671
590,248014,47671
591,247953,47671
592,247831,47671
593,247709,47671
594,247623,47671
595,247596,47671
596,247596,47671
597,247596,47671
598,255301,47671
599,255301,47671
600,255301,47671
601,255301,47671
602,255301,47671
603,255301,47671
604,255301,47671
605,261525,47671
606,261252,47671
607,261197,47671
608,260853,47671
609,260798,47671
610,260773,47671
611,260773,47671
612,260773,47671
613,260773,47671
614,260773,47671
615,259014,47671
616,256529,47671
617,256381,47671
618,256241,47671
619,255385,47671
620,255270,47671
621,255155,47671
622,255145,47671
623,255145,47671
624,255145,47671
625,255145,47671
626,255145,47671
627,279418,47671
628,279418,47671
629,279117,47671
630,279117,47671
631,277383,47671
632,277383,47671
633,277383,47671
634,277383,47671
635,277383,47671
636,277383,47671
637,277077,47671
638,277077,47671
639,277077,47671
640,267691,47671
641,267508,47671
642,267389,47671
643,267342,47671
644,266486,47671
645,266486,47671
646,266486,47671
647,266486,47671
648,249574,47671
649,249306,47671
650,249306,47671
651,256604,47671
652,256604,47671
653,256604,47671
654,256604,47671
655,256604,47671
656,256604,47671
657,256303,47671
658,256303,47671
659,254447,47671
660,251823,47671
661,251395,47671
662,251173,47671
663,250951,47671
664,250729,47671
665,250567,47671
666,250445,47671
667,250431,47671
668,250431,47671
669,250431,47671
670,250370,47671
671,250309,47671
672,250248,47671
673,250191,47671
674,250091,47671
675,249991,47671
676,249991,47671
677,249991,47671
678,249991,47671
679,249991,47671
680,249991,47671
681,249991,47671
682,249991,47671
683,249991,47671
684,249991,47671
685,271531,47671
686,271531,47671
687,307987,47671
688,307987,47671
689,307987,47671
690,307987,47671
691,307987,47671
692,307987,47671
693,307987,47671
694,307987,47671
695,307987,47671
696,307987,47671
697,307987,47671
698,307987,47671
699,307987,47671
700,307987,47671
701,307987,47671
702,307987,47671
703,307987,47671
704,307987,47671
705,307987,47671
706,307715,47671
707,302503,47671
708,302503,47671
709,302214,47671
710,302084,47671
711,292669,47671
712,292547,47671
713,292425,47671
714,292349,47671
715,280701,47671
716,280701,47671
717,278139,47671
718,277837,47671
719,277523,47671
720,274796,47671
721,274796,47671
722,274796,47671
723,274796,47671
724,274507,47671
725,274507,47671
726,274405,47671
727,274198,47671
728,273991,47671
729,273897,47671
730,273897,47671
731,273897,47671
732,297382,47671
733,297382,47671
734,297382,47671
735,297382,47671
736,297073,47671
737,297073,47671
738,294620,47671
739,294620,47671
740,294620,47671
741,294620,47671
742,300492,47671
743,300492,47671
744,300392,47671
745,297532,47671
746,297532,47671
747,297466,47671
748,297400,47671
749,297334,47671
750,297163,47671
751,296992,47671
752,296906,47671
753,294424,47671
754,294322,47671
755,284895,47671
756,284819,47671
757,284697,47671
758,273220,47671
759,272720,47671
760,271191,47671
761,270956,47671
762,270116,47671
763,269935,47671
764,269874,47671
765,269827,47671
766,269827,47671
767,269827,47671
768,269827,47671
769,269827,47671
770,269827,47671
771,269761,47671
772,269695,47671
773,269517,47671
774,269339,47671
775,269111,47671
776,268899,47671
777,268519,47671
778,268519,47671
779,268519,47671
780,268519,47671
781,268519,47671
782,268519,47671
783,268519,47671
784,268519,47671
785,268519,47671
786,268519,47671
787,268519,47671
788,268519,47671
789,268519,47671
790,268519,47671
791,268519,47671
792,297281,47671
793,308591,47671
794,308591,47671
795,308591,47671
796,308591,47671
797,308591,47671
798,308591,47671
799,308591,47671
800,308591,47671
801,308591,47671
802,308591,47671
803,308591,47671
804,308591,47671
805,308591,47671
806,308591,47671
807,308591,47671
808,308591,47671
809,308591,47671
810,308591,47671
811,308591,47671
812,305978,47671
813,305706,47671
814,305706,47671
815,305706,47671
816,305706,47671
817,305706,47671
818,305706,47671
819,305706,47671
820,305645,47671
821,305584,47671
822,303167,47671
823,302893,47671
824,302761,47671
825,302707,47671
826,302707,47671
827,302577,47671
828,302158,47671
829,300418,47671
830,300357,47671
831,300296,47671
832,290952,47671
833,290952,47671
834,290952,47671
835,290952,47671
836,290952,47671
837,290952,47671
838,290952,47671
839,290952,47671
840,315406,47671
841,315406,47671
842,349155,47671
843,349155,47671
844,349155,47671
845,349155,47671
846,349155,47671
847,349155,47671
848,349155,47671
849,349155,47671
850,349155,47671
851,349155,47671
852,349155,47671
853,349155,47671
854,349155,47671
855,348872,47671
856,339309,47671
857,336807,47671
858,337606,47671
859,335297,47671
860,334480,47671
861,334358,47671
862,334236,47671
863,334150,47671
864,334150,47671
865,334089,47671
866,334028,47671
867,333967,47671
868,350279,47671
869,350218,47671
870,350157,47671
871,350096,47671
872,350060,47671
873,349999,47671
874,349938,47671
875,349581,47671
876,349520,47671
877,347854,47671
878,347793,47671
879,347732,47671
880,347671,47671
881,346827,47671
882,346766,47671
883,343978,47671
884,339202,47671
885,337536,47671
886,337475,47671
887,337429,47671
888,337429,47671
889,337429,47671
890,337429,47671
891,337429,47671
892,337429,47671
893,337219,47671
894,337009,47671
895,336959,47671
896,336959,47671
897,336959,47671
898,357869,47671
899,357869,47671
900,368254,47671
901,368254,47671
902,368254,47671
903,368254,47671
904,368254,47671
905,368254,47671
906,368254,47671
907,368254,47671
908,368254,47671
909,365826,47671
910,365826,47671
911,365826,47671
912,365826,47671
913,365826,47671
914,365826,47671
915,365826,47671
916,374010,47671
917,374010,47671
918,374010,47671
919,374010,47671
920,374010,47671
921,374010,47671
922,374010,47671
923,374010,47671
924,374010,47671
925,374010,47671
926,374010,47671
927,374010,47671
928,374010,47671
929,374010,47671
930,374010,47671
931,374010,47671
932,374010,47671
933,374010,47671
934,374010,47671
935,374010,47671
936,374010,47671
937,374010,47671
938,374010,47671
939,374010,47671
940,374010,47671
941,374010,47671
942,374010,47671
943,374010,47671
944,374010,47671
945,374010,47671
946,374010,47671
947,374010,47671
948,374010,47671
949,374010,47671
950,374010,47671
951,374010,47671
952,374010,47671
953,374010,47671
954,374010,47671
955,374010,47671
956,374010,47671
957,374010,47671
958,374010,47671
959,374010,47671
960,374010,47671
961,374010,47671
962,374010,47671
963,374010,47671
964,374010,47671
965,374010,47671
966,374010,47671
967,374010,47671
968,374010,47671
969,374010,47671
970,374010,47671
971,374010,47671
972,374010,47671
973,374010,47671
974,374010,47671
975,374010,47671
976,374010,47671
977,374010,47671
978,374010,47671
979,374010,47671
980,374010,47671
981,374010,47671
982,374010,47671
983,374010,47671
984,374010,47671
985,374010,47671
986,374010,47671
987,374010,47671
988,374010,47671
989,374010,47671
990,374010,47671
991,374010,47671
992,374010,47671
993,374010,47671
994,374010,47671
995,374010,47671
996,374010,47671
997,374010,47671
998,374010,47671
999,374010,47671
1000,374010,47671
