Step,lampe,Python-DTU
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,49943
9,50000,49930
10,50000,49930
11,48976,49930
12,48920,49930
13,48906,49930
14,48906,49930
15,48906,49930
16,48307,49930
17,48250,49930
18,48094,49930
19,48094,49930
20,47823,49930
21,46775,49930
22,46775,49388
23,44679,49388
24,44679,49388
25,42321,49388
26,42321,49388
27,42321,49388
28,42321,49388
29,42191,49388
30,42055,49388
31,42031,49388
32,41895,49388
33,41709,49388
34,41627,49388
35,41455,49252
36,41421,49228
37,41309,49228
38,40584,49228
39,40467,49228
40,40369,49228
41,40233,49228
42,40097,49228
43,40029,49228
44,40029,49228
45,39909,49228
46,39909,49228
47,39909,49228
48,39909,49228
49,39909,49228
50,39909,49228
51,39909,49228
52,39852,49228
53,39795,49228
54,39749,49228
55,39749,49228
56,39749,49228
57,39749,49228
58,39749,49228
59,39749,49228
60,39749,49228
61,39749,49228
62,39693,49228
63,39637,49228
64,39581,49228
65,39013,49228
66,39013,49228
67,39013,49228
68,39013,49228
69,39013,49228
70,39013,49228
71,39013,49228
72,39013,49228
73,39013,49228
74,38901,49228
75,38883,49228
76,38759,49228
77,38635,49228
78,38505,49228
79,38391,49228
80,38277,49228
81,38181,49228
82,38163,49228
83,38163,49228
84,37887,49228
85,37119,49228
86,37119,49228
87,37119,49228
88,37119,49228
89,37119,49228
90,37119,49228
91,37119,49228
92,37119,49228
93,37119,49228
94,37119,49228
95,36983,49228
96,36959,49228
97,36959,49228
98,36959,49228
99,36959,49228
100,36959,49228
101,36959,49228
102,36959,49228
103,36703,49228
104,36703,49228
105,36567,49228
106,36431,49228
107,36343,49228
108,36343,49228
109,36343,49228
110,36343,49228
111,36343,49228
112,36343,49228
113,36343,49228
114,36343,49228
115,36343,49228
116,36343,49228
117,36343,49228
118,36343,49228
119,36343,49228
120,36343,49228
121,36343,49228
122,36343,49228
123,36343,49228
124,36343,49228
125,36343,49228
126,36343,49228
127,36343,49228
128,36343,49228
129,36343,49228
130,36343,49228
131,36343,49228
132,36343,49228
133,36343,49228
134,36343,49228
135,36343,49228
136,36343,49228
137,36276,49092
138,36209,49088
139,36193,49088
140,36193,49088
141,36193,49088
142,36193,49088
143,36193,49088
144,36193,49088
145,36193,49088
146,36193,49088
147,89692,49088
148,89692,49088
149,89692,49088
150,89692,49088
151,89692,49088
152,89692,49088
153,89556,49088
154,89386,49088
155,89305,49088
156,89248,49088
157,89242,49088
158,89106,49088
159,89072,49088
160,89072,49088
161,88024,49088
162,87500,49088
163,87276,49088
164,87052,49088
165,86940,49088
166,86428,49088
167,86428,49088
168,86172,49088
169,85780,49088
170,85516,49088
171,85438,49088
172,85438,49088
173,85318,49088
174,85318,49088
175,85318,49088
176,85318,49088
177,85318,49088
178,85318,49088
179,85057,49088
180,85057,49088
181,85057,49088
182,85057,49088
183,85057,49088
184,84921,49088
185,75244,49088
186,74988,49088
187,74988,49088
188,74988,49088
189,74988,49088
190,74988,49088
191,74988,49088
192,74988,49088
193,74876,49088
194,74764,49088
195,74728,49088
196,68306,49088
197,68306,49088
198,68306,49088
199,68170,49088
200,68046,49088
201,68046,49088
202,68046,49088
203,68046,49088
204,67910,49088
205,67774,49088
206,67726,49088
207,67590,49088
208,67526,49088
209,67526,49088
210,67526,49088
211,67526,49088
212,67526,49088
213,67526,49088
214,67526,49088
215,67526,49088
216,67526,49088
217,67526,49088
218,67526,49088
219,67526,49088
220,67526,49088
221,67526,49088
222,67526,49088
223,67526,49088
224,67526,49088
225,67390,49088
226,67256,49088
227,67189,49088
228,67122,49088
229,67106,49088
230,67106,49088
231,67106,49088
232,67106,49088
233,67106,49088
234,67106,49088
235,66970,49088
236,66836,49088
237,66836,49088
238,66836,49088
239,66836,49088
240,66836,49088
241,66836,49088
242,164930,49088
243,164930,49088
244,164930,49088
245,164930,49088
246,164930,49088
247,164930,49088
248,164706,49088
249,164670,49088
250,164670,49088
251,164408,49088
252,157986,49088
253,157986,49088
254,157850,49088
255,157816,49088
256,157816,49088
257,157816,49088
258,156250,49088
259,156114,49088
260,155980,49088
261,155980,49088
262,155468,49088
263,155332,49088
264,155248,49088
265,154704,49088
266,154446,49088
267,154368,49088
268,154368,49088
269,154248,49088
270,154248,49088
271,154248,49088
272,153992,49088
273,153992,49088
274,153992,49088
275,153992,49088
276,153992,49088
277,153992,49088
278,153992,49088
279,153992,49088
280,153992,49088
281,144359,49088
282,144359,49088
283,144359,49088
284,144359,49088
285,144359,49088
286,144223,49088
287,144119,49088
288,144119,49088
289,144119,49088
290,144119,49088
291,144119,49088
292,144119,49088
293,144119,49088
294,144119,49088
295,143983,49088
296,143859,49088
297,143859,49088
298,143859,49088
299,143859,49088
300,143859,49088
301,143859,49088
302,143859,49088
303,143859,49088
304,143859,49088
305,143859,49088
306,143859,49088
307,143859,49088
308,143859,49088
309,143859,49088
310,143859,49088
311,143859,49088
312,143859,49088
313,143859,49088
314,143859,49088
315,143859,49088
316,143792,49088
317,143725,49088
318,143658,49088
319,143609,49088
320,143609,49088
321,143609,49088
322,143609,49088
323,143542,49088
324,143475,49088
325,143459,49088
326,143459,49088
327,143459,49088
328,143459,49088
329,143459,49088
330,143459,49088
331,143459,49088
332,143459,49088
333,143459,49088
334,143459,49088
335,143459,49088
336,143459,49088
337,143459,49088
338,143459,49088
339,143392,49088
340,143325,49088
341,143258,49088
342,143191,49088
343,143124,49088
344,143057,49088
345,142990,49088
346,142923,49088
347,142856,49088
348,142789,49088
349,142722,49088
350,142655,49088
351,142609,49088
352,142609,49088
353,142609,49088
354,142609,49088
355,142609,49088
356,142609,49088
357,142609,49088
358,142609,49088
359,142609,49088
360,242654,49088
361,242654,49088
362,242654,49088
363,242654,49088
364,242654,49088
365,242654,49088
366,242542,49088
367,242524,49088
368,242457,49088
369,242390,49088
370,242374,49088
371,242374,49088
372,242374,49088
373,242374,49088
374,242242,49088
375,241978,49088
376,240949,49088
377,240837,49088
378,240801,49088
379,240801,49088
380,240801,49088
381,240801,49088
382,240665,49088
383,240393,49088
384,240041,49088
385,240041,49088
386,240041,49088
387,239905,49088
388,239633,49088
389,239591,49088
390,239591,49088
391,239591,49088
392,238937,49088
393,238929,49088
394,238929,49088
395,238929,49088
396,238673,49088
397,238673,49088
398,238673,49088
399,238673,49088
400,233158,49088
401,233158,49088
402,233158,49088
403,232948,49088
404,232948,49088
405,232948,49088
406,232836,49088
407,232724,49088
408,232688,49088
409,232688,49088
410,232688,49088
411,232552,49088
412,232488,49088
413,232488,49088
414,232488,49088
415,232488,49088
416,232488,49088
417,232488,49088
418,232352,49088
419,232216,49088
420,232168,49088
421,232168,49088
422,232168,49088
423,232168,49088
424,232168,49088
425,232168,49088
426,232168,49088
427,232168,49088
428,232032,49088
429,231898,49088
430,231898,49088
431,231898,49088
432,231898,49088
433,231898,49088
434,231898,49088
435,231898,49088
436,231898,49088
437,231898,49088
438,231898,49088
439,231898,49088
440,231898,49088
441,231898,49088
442,231898,49088
443,231898,49088
444,231898,49088
445,231898,49088
446,231898,49088
447,231898,49088
448,231898,49088
449,231898,49088
450,231898,49088
451,231898,49088
452,231898,49088
453,231898,49088
454,231898,49088
455,231898,49088
456,231898,49088
457,231898,49088
458,231898,49088
459,231898,49088
460,231898,49088
461,231762,49088
462,231626,49088
463,231490,49088
464,231478,49088
465,231478,49088
466,231478,49088
467,231478,49088
468,231478,49088
469,231478,49088
470,231478,49088
471,231478,49088
472,283807,49088
473,283807,49088
474,283807,49088
475,283807,49088
476,283807,49088
477,283807,49088
478,277385,49088
479,277385,49088
480,277273,49088
481,277091,49088
482,276957,49088
483,276925,49088
484,276925,49088
485,276789,49088
486,276785,49088
487,276785,49088
488,276785,49088
489,276673,49088
490,276561,49088
491,276525,49088
492,276525,49088
493,276415,49088
494,269993,49088
495,269993,49088
496,269993,49088
497,269993,49088
498,269993,49088
499,269993,49088
500,266782,49088
501,266510,49088
502,266462,49088
503,266462,49088
504,266462,49088
505,266201,49088
506,266201,49088
507,266081,49088
508,266081,49088
509,265825,49088
510,265825,49088
511,265825,49088
512,265825,49088
513,265825,49088
514,265825,49088
515,265825,49088
516,265569,49088
517,265485,49088
518,265485,49088
519,265485,49088
520,265485,49088
521,265485,49088
522,265485,49088
523,265485,49088
524,265485,49088
525,265485,49088
526,265485,49088
527,265485,49088
528,265485,49088
529,265485,49088
530,265485,49088
531,265485,49088
532,265485,49088
533,265485,49088
534,265353,49088
535,265325,49088
536,265325,49088
537,265325,49088
538,265325,49088
539,265325,49088
540,265325,49088
541,265325,49088
542,265325,49088
543,265325,49088
544,265325,49088
545,265325,49088
546,265325,49088
547,265325,49088
548,265325,49088
549,265325,49088
550,265325,49088
551,265325,49088
552,265325,49088
553,265268,49088
554,265211,49088
555,265154,49088
556,265097,49088
557,265040,49088
558,264983,49088
559,264926,49088
560,264869,49088
561,264812,49088
562,264755,49088
563,264698,49088
564,264641,49088
565,264585,49088
566,264585,49088
567,264585,49088
568,264585,49088
569,264585,49088
570,264585,49088
571,264585,49088
572,264585,49088
573,264585,49088
574,264585,49088
575,264585,49088
576,264585,49088
577,264585,49088
578,264585,49088
579,264585,49088
580,264585,49088
581,264585,49088
582,264585,49088
583,264585,49088
584,264585,49088
585,264585,49088
586,264585,49088
587,264585,49088
588,264585,49088
589,264585,49088
590,264585,49088
591,264361,49088
592,264325,49088
593,264258,49088
594,264191,49088
595,264175,49088
596,264118,49088
597,264061,49088
598,264004,49088
599,263947,49088
600,263813,49088
601,262135,49088
602,262039,49088
603,262039,49088
604,262039,49088
605,262039,49088
606,262039,49088
607,262039,49088
608,261767,49088
609,261759,49088
610,261759,49088
611,261759,49088
612,261339,49088
613,261315,49088
614,261315,49088
615,261315,49088
616,261054,49088
617,261054,49088
618,261054,49088
619,261054,49088
620,260542,49088
621,260542,49088
622,260542,49088
623,260542,49088
624,260485,49088
625,260428,49088
626,260371,49088
627,260212,49088
628,260212,49088
629,260212,49088
630,260100,49088
631,259988,49088
632,259952,49088
633,259952,49088
634,259952,49088
635,259952,49088
636,259952,49088
637,259952,49088
638,259952,49088
639,259952,49088
640,259952,49088
641,259952,49088
642,259952,49088
643,259952,49088
644,259952,49088
645,259952,49088
646,259840,49088
647,259822,49088
648,259755,49088
649,259688,49088
650,259672,49088
651,259672,49088
652,259672,49088
653,259672,49088
654,259672,49088
655,259672,49088
656,259150,49088
657,259150,49088
658,259150,49088
659,259150,49088
660,258947,49088
661,255533,49088
662,255388,49088
663,255193,49088
664,255189,49088
665,255189,49088
666,255189,49088
667,255107,49088
668,254889,49088
669,254516,49088
670,254434,49088
671,254382,49088
672,254382,49088
673,254382,49088
674,254382,49088
675,254382,49088
676,254382,49088
677,254382,49088
678,252078,49088
679,252078,49088
680,252078,49088
681,252021,49088
682,251964,49088
683,251908,49088
684,251908,49088
685,251908,49088
686,251908,49088
687,251908,49088
688,251908,49088
689,251908,49088
690,251908,49088
691,251908,49088
692,251908,49088
693,251908,49088
694,251908,49088
695,251908,49088
696,251772,49088
697,251636,49088
698,251588,49088
699,251588,49088
700,251588,49088
701,251588,49088
702,251588,49088
703,251588,49088
704,251588,49088
705,251588,49088
706,251588,49088
707,251588,49088
708,251588,49088
709,251588,49088
710,251588,49088
711,251588,49088
712,251588,49088
713,251588,49088
714,251588,49088
715,251588,49088
716,251588,49088
717,251588,49088
718,251588,49088
719,251588,49088
720,251588,49088
721,251588,49088
722,251588,49088
723,251588,49088
724,251588,49088
725,251588,49088
726,251588,49088
727,251588,49088
728,251588,49088
729,251588,49088
730,251588,49088
731,251588,49088
732,251588,49088
733,251588,49088
734,251588,49088
735,251476,49088
736,251364,49088
737,251252,49088
738,251178,49088
739,251178,49088
740,251178,49088
741,251178,49088
742,251178,49088
743,251178,49088
744,251178,49088
745,251178,49088
746,251178,49088
747,251178,49088
748,251178,49088
749,251178,49088
750,251178,49088
751,251178,49088
752,251178,49088
753,251178,49088
754,251178,49088
755,251178,49088
756,251178,49088
757,251178,49088
758,251178,49088
759,251178,49088
760,251178,49088
761,251178,49088
762,251178,49088
763,251178,49088
764,251178,49088
765,251178,49088
766,251178,49088
767,251178,49088
768,251178,49088
769,251178,49088
770,251178,49088
771,251178,49088
772,251178,49088
773,251178,49088
774,251178,49088
775,251121,49088
776,251064,49088
777,251007,49088
778,250950,49088
779,250893,49088
780,250836,49088
781,250818,49088
782,250818,49088
783,250818,49088
784,250818,49088
785,250818,49088
786,250818,49088
787,250818,49088
788,250818,49088
789,250818,49088
790,250818,49088
791,250818,49088
792,250818,49088
793,316808,49088
794,316808,49088
795,316808,49088
796,316808,49088
797,316808,49088
798,316808,49088
799,316808,49088
800,316696,49088
801,316678,49088
802,316544,49088
803,316410,49088
804,316378,49088
805,316378,49088
806,316378,49088
807,316378,49088
808,316378,49088
809,316378,49088
810,316311,49088
811,316244,49088
812,315394,49088
813,315335,49088
814,315335,49088
815,315335,49088
816,315335,49088
817,315335,49088
818,315335,49088
819,315199,49088
820,315195,49088
821,315059,49088
822,314899,49088
823,314875,49088
824,314875,49088
825,314875,49088
826,314875,49088
827,314875,49088
828,314875,49088
829,314107,49088
830,314107,49088
831,313794,49088
832,313737,49088
833,313681,49088
834,313681,49088
835,313681,49088
836,313561,49088
837,313561,49088
838,313441,49088
839,313441,49088
840,313441,49088
841,313441,49088
842,313441,49088
843,313441,49088
844,313441,49088
845,313441,49088
846,313441,49088
847,313441,49088
848,313441,49088
849,313441,49088
850,313315,49088
851,313301,49088
852,313301,49088
853,313234,49088
854,313167,49088
855,313151,49088
856,313151,49088
857,313151,49088
858,313151,49088
859,313151,49088
860,313151,49088
861,313151,49088
862,313151,49088
863,313084,49088
864,313017,49088
865,312950,49088
866,312883,49088
867,312831,49088
868,312831,49088
869,312831,49088
870,312831,49088
871,312831,49088
872,312831,49088
873,312831,49088
874,312831,49088
875,312831,49088
876,312831,49088
877,312831,49088
878,312831,49088
879,321791,49088
880,321791,49088
881,321791,49088
882,321791,49088
883,321791,49088
884,321791,49088
885,321791,49088
886,321791,49088
887,321791,49088
888,321791,49088
889,321791,49088
890,321791,49088
891,321791,49088
892,321791,49088
893,321791,49088
894,321791,49088
895,321791,49088
896,321791,49088
897,321791,49088
898,321791,49088
899,321791,49088
900,321791,49088
901,321791,49088
902,321791,49088
903,321791,49088
904,321791,49088
905,321791,49088
906,321791,49088
907,321791,49088
908,321791,49088
909,321791,49088
910,321791,49088
911,321791,49088
912,321791,49088
913,321791,49088
914,321791,49088
915,321791,49088
916,321791,49088
917,321791,49088
918,321791,49088
919,321791,49088
920,321791,49088
921,321791,49088
922,321791,49088
923,321791,49088
924,321791,49088
925,321791,49088
926,321791,49088
927,321791,49088
928,321791,49088
929,321791,49088
930,321791,49088
931,321791,49088
932,321791,49088
933,321791,49088
934,321791,49088
935,321791,49088
936,321791,49088
937,321791,49088
938,321791,49088
939,321791,49088
940,321791,49088
941,321791,49088
942,321791,49088
943,321791,49088
944,321791,49088
945,321791,49088
946,321791,49088
947,321791,49088
948,321791,49088
949,321791,49088
950,321791,49088
951,321791,49088
952,321791,49088
953,321791,49088
954,321791,49088
955,321791,49088
956,321791,49088
957,321791,49088
958,321791,49088
959,321791,49088
960,321791,49088
961,321791,49088
962,321791,49088
963,321791,49088
964,321791,49088
965,321791,49088
966,321791,49088
967,321791,49088
968,321791,49088
969,321791,49088
970,321791,49088
971,321791,49088
972,321791,49088
973,321791,49088
974,321791,49088
975,321791,49088
976,321791,49088
977,321791,49088
978,321791,49088
979,321791,49088
980,321791,49088
981,321791,49088
982,321791,49088
983,321791,49088
984,321791,49088
985,321791,49088
986,321791,49088
987,321791,49088
988,321791,49088
989,321791,49088
990,321791,49088
991,321791,49088
992,321791,49088
993,321791,49088
994,321791,49088
995,321791,49088
996,321791,49088
997,321791,49088
998,321791,49088
999,321791,49088
1000,321791,49088
