Step,BathTUB,lampe
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,49184
8,49712,49184
9,32556,49184
10,32257,49184
11,32257,49094
12,25951,49094
13,25951,49094
14,21896,49094
15,-7097,49094
16,-7097,49094
17,-7097,49094
18,-7097,49094
19,-7097,49094
20,-7097,49094
21,-36090,49094
22,-36090,48372
23,-36090,48316
24,-36090,48316
25,-36090,48256
26,-36090,48196
27,-65083,48196
28,-65083,48196
29,-2060,48196
30,-2060,48196
31,-2060,48196
32,-2060,48196
33,-2060,48196
34,-2060,48196
35,-2336,48196
36,-2336,48196
37,-2336,48196
38,-2336,48196
39,-2336,48196
40,-2336,48196
41,-2336,48196
42,-2336,48196
43,-2336,48196
44,-2336,48196
45,-2336,48196
46,-2336,48196
47,-2336,48196
48,-2336,48196
49,-2336,48196
50,-2336,48196
51,-2336,48196
52,-2336,48196
53,-2336,47344
54,-2336,47344
55,-2336,47344
56,-2336,47344
57,-2336,47344
58,-2336,47089
59,-2336,47089
60,-2336,44467
61,-2336,44313
62,-2336,44298
63,-2336,44298
64,-2336,44298
65,-2336,44298
66,-2336,44298
67,-2336,44298
68,-2336,44298
69,-2336,44298
70,-2336,44163
71,-2336,44028
72,-4687,43400
73,-4687,43400
74,-4687,43340
75,-4687,43290
76,-4687,43230
77,-4687,41841
78,-4687,41674
79,-4687,41644
80,-4687,41644
81,-4687,41644
82,-4687,41644
83,-4687,41644
84,-4687,41644
85,-4687,41644
86,-4687,41563
87,-4687,41514
88,-4687,41404
89,-4687,40540
90,-4687,40540
91,-4687,39718
92,-4687,38854
93,-4687,38854
94,-4687,38854
95,-4687,38721
96,-4687,38674
97,-4966,38674
98,-4966,38593
99,-4966,38512
100,-4966,38494
101,-4966,38494
102,-4966,38494
103,-4966,38361
104,-4966,38228
105,-4966,38095
106,-5746,38084
107,-5746,38084
108,-5746,38084
109,-5746,38084
110,-5841,38084
111,-5916,38084
112,-6026,38084
113,-6136,38084
114,-6246,38003
115,-6246,37922
116,-6356,37841
117,-6599,37834
118,-6842,37834
119,-7085,37834
120,-7328,37834
121,-7461,37834
122,-7594,37834
123,-7727,37834
124,-7746,37834
125,-7746,37834
126,-7746,37834
127,-9469,37834
128,-9469,37834
129,-9469,37834
130,-9469,37834
131,-9469,37535
132,-9469,37535
133,-9469,37535
134,-9604,37535
135,-9669,37535
136,-9669,37535
137,-9669,37535
138,-9669,37535
139,-9669,37535
140,-9669,37535
141,-9669,37535
142,-9669,37535
143,-9669,37535
144,-9669,37535
145,-9669,37535
146,-9669,37426
147,-9669,37317
148,-9669,37208
149,-9669,37155
150,-9669,37155
151,-9669,37155
152,-12352,37155
153,-12352,37155
154,-12352,37155
155,-12484,37155
156,-12522,37155
157,-12522,37155
158,-12522,37155
159,-12522,37155
160,-12522,37155
161,-12821,37155
162,-12821,37155
163,-12821,37155
164,-12821,37155
165,-12821,37155
166,-12821,37155
167,-12821,37155
168,-12821,37155
169,-12821,37155
170,-12821,37155
171,-12821,37155
172,-12821,37155
173,-12821,37155
174,-12821,37155
175,-12821,37155
176,-12821,37155
177,-12821,37155
178,-12821,37155
179,-12821,37155
180,-12821,37074
181,-12821,36993
182,-12821,36912
183,-12821,36855
184,-12821,36855
185,-12821,36855
186,-13668,36855
187,-13668,36855
188,-13668,36855
189,-13668,36855
190,-13668,36855
191,-13668,36855
192,-13668,36855
193,-13668,36855
194,-13668,36855
195,-13668,36855
196,-13668,36855
197,-13668,36855
198,-13668,36855
199,-13668,36855
200,-13668,36855
201,-13668,36855
202,-13749,36855
203,-13830,36774
204,-13911,36693
205,-13992,36612
206,-20379,36531
207,-20460,36450
208,-20541,36369
209,-20622,36288
210,-20703,36207
211,-20754,36126
212,-20754,36045
213,-20754,36025
214,-20754,36025
215,-20754,36025
216,-20754,36025
217,-20754,36025
218,-20754,36025
219,-20754,74397
220,-20754,74397
221,-20754,74397
222,-20754,74397
223,-20754,74316
224,-20754,74267
225,-20754,74186
226,-20754,73241
227,-20754,72318
228,-20864,72237
229,-20974,65016
230,-21084,64999
231,-21194,64999
232,-21304,64866
233,-21414,64809
234,-21524,64676
235,-21634,64619
236,-21744,64619
237,-21744,64361
238,-21744,62633
239,-21744,62633
240,-21744,62633
241,-21744,62633
242,-21744,62573
243,-21744,62513
244,-21744,62453
245,-21744,62423
246,-21744,62423
247,-21744,62124
248,-21744,62043
249,-21744,61702
250,-21744,61702
251,-21744,61702
252,-22023,61702
253,-22023,61702
254,-22023,61702
255,-22023,61702
256,-22023,61702
257,-22023,61702
258,-22023,61702
259,-22023,61702
260,-22023,61702
261,-22023,61702
262,-22023,61702
263,-22023,61702
264,-22023,61702
265,-22023,61702
266,-22023,61702
267,-22023,61621
268,-22023,61540
269,41757,61512
270,41757,61512
271,41757,61512
272,41757,61512
273,41757,61512
274,41757,61512
275,41757,61512
276,41757,61512
277,41757,61512
278,41757,61512
279,41757,61512
280,41757,61512
281,41757,61512
282,41757,61512
283,41757,61512
284,41757,61512
285,41757,61512
286,41478,61512
287,41478,61512
288,41478,61512
289,41478,61512
290,41478,61512
291,41478,122975
292,41478,122975
293,41478,122975
294,41478,122975
295,40631,122975
296,40631,122894
297,40631,122845
298,40631,121981
299,40631,114841
300,40550,114841
301,40469,114760
302,40421,113682
303,40421,113390
304,40421,113176
305,40421,113057
306,40421,112924
307,40421,112867
308,40421,112734
309,40421,112677
310,40421,112677
311,40421,110949
312,40421,110949
313,40421,110816
314,40421,110683
315,40421,110609
316,40421,110609
317,40421,110609
318,40421,110609
319,40421,110609
320,40421,110609
321,40421,110609
322,40421,110609
323,40421,110609
324,40421,110609
325,40421,110609
326,40421,110609
327,40286,110609
328,40191,110609
329,40191,110609
330,40191,110609
331,40191,110609
332,40191,110609
333,40191,110609
334,40191,110609
335,40191,110609
336,40191,110609
337,40191,110609
338,40191,110609
339,40116,110609
340,40041,110310
341,39966,110310
342,39891,110310
343,39816,110310
344,39741,110310
345,39666,110310
346,39591,110310
347,38936,110310
348,38861,110310
349,38786,110310
350,37077,110310
351,37002,110310
352,36997,110310
353,36916,110310
354,36835,110310
355,36767,110310
356,36767,110201
357,36767,110092
358,36767,109983
359,36767,109930
360,36767,109930
361,36471,109930
362,36471,109930
363,36471,109930
364,36471,109930
365,36471,109930
366,36471,109930
367,36471,109930
368,36471,109930
369,36471,109930
370,36471,109930
371,36471,109930
372,36471,109930
373,36390,109930
374,36309,109930
375,36228,109930
376,36147,109930
377,35229,109930
378,35148,109930
379,35067,109930
380,34986,109930
381,34934,109930
382,34934,109930
383,34845,109930
384,34756,109930
385,34684,109930
386,34684,109930
387,34684,109930
388,34684,109930
389,34684,109930
390,34684,109849
391,34684,109768
392,34684,109687
393,33156,109630
394,33156,109630
395,33156,109630
396,38544,109630
397,38544,109630
398,38544,109630
399,38243,109630
400,38243,109630
401,38243,109630
402,38243,109630
403,38243,109630
404,38243,109630
405,38243,109630
406,38108,109630
407,38083,109630
408,38083,109630
409,38083,109630
410,38083,109630
411,38083,109630
412,38083,109630
413,38083,109630
414,38083,109630
415,38083,109630
416,38083,109630
417,38083,109630
418,37799,109630
419,37799,109520
420,37799,109410
421,37799,109300
422,37799,109280
423,37799,109280
424,37799,109280
425,37799,109280
426,37799,174118
427,37666,174118
428,37533,174118
429,37400,174118
430,37267,174037
431,37134,173907
432,37089,173838
433,36956,173838
434,36879,172974
435,36879,172974
436,36879,165834
437,36879,165469
438,34428,164268
439,34428,164190
440,34428,164057
441,34428,163745
442,34428,163745
443,34428,163745
444,34428,163745
445,33594,163745
446,33594,163745
447,33594,162821
448,33594,162761
449,33594,162701
450,33594,162651
451,33594,162651
452,33594,162352
453,33594,162352
454,33594,162352
455,33594,162352
456,33594,162352
457,33594,162352
458,31255,162352
459,31255,162352
460,31255,162352
461,31255,162352
462,31255,162352
463,31123,162352
464,30991,162352
465,30859,162277
466,51705,162202
467,51573,162127
468,51453,162122
469,51453,162122
470,51453,162122
471,51453,162041
472,51453,161960
473,51453,161932
474,51453,161932
475,51453,161932
476,51453,161932
477,51453,161932
478,51453,161932
479,51453,161932
480,51453,161932
481,51453,161932
482,51453,161932
483,51453,161932
484,51453,161932
485,51453,161932
486,51453,161932
487,51453,161932
488,51453,161932
489,51453,161932
490,51453,161932
491,51453,161932
492,51453,161932
493,51453,161932
494,49668,161932
495,49668,161932
496,49668,161932
497,49668,161932
498,49668,161932
499,49668,221334
500,49668,221334
501,49668,221334
502,49668,221334
503,49668,221334
504,49668,221253
505,49668,221214
506,49668,221214
507,49668,220398
508,49668,220398
509,49668,220317
510,49668,219378
511,49668,219300
512,49668,219300
513,49668,219167
514,49668,218855
515,49668,218855
516,49668,218641
517,49668,218367
518,49668,218222
519,49668,210868
520,49668,210056
521,49668,209851
522,49668,209637
523,49668,209423
524,49668,209209
525,49668,209107
526,49535,209097
527,49402,209097
528,49269,209097
529,49136,209097
530,49003,209097
531,48870,209097
532,48788,209097
533,48788,208987
534,42482,208987
535,42482,208987
536,42482,208987
537,42482,208987
538,42482,208987
539,42482,208987
540,58555,208987
541,58555,208987
542,58555,208987
543,58555,208987
544,58555,208987
545,58555,208987
546,58555,208688
547,58555,208564
548,58555,208508
549,58555,208433
550,58555,208358
551,58555,208358
552,58555,208283
553,58555,208208
554,58555,208133
555,58555,208098
556,58555,208098
557,58555,208098
558,58555,208098
559,58555,208098
560,58555,208098
561,58555,207989
562,58555,207880
563,58555,207771
564,58555,207718
565,58555,207718
566,58555,207718
567,58555,207718
568,58555,207718
569,58555,207718
570,58555,207718
571,58555,207718
572,58555,207718
573,58555,207718
574,58555,207718
575,58555,207718
576,58555,207718
577,58555,207718
578,58555,207718
579,58555,207718
580,58555,207718
581,58555,207718
582,58555,207718
583,58555,207718
584,58555,207718
585,52887,207718
586,52887,207718
587,52887,207718
588,52887,207718
589,52887,207718
590,52887,207718
591,52755,207718
592,52623,207718
593,46185,207718
594,46053,207594
595,46021,207470
596,46021,207428
597,46021,207428
598,46021,207428
599,46021,207428
600,45211,207428
601,45211,207428
602,45211,207428
603,45211,207428
604,45211,207428
605,45211,207428
606,45211,207428
607,45211,207428
608,45078,207428
609,45001,207428
610,45001,268286
611,45001,268286
612,45001,268286
613,44729,268286
614,44729,268286
615,44729,268286
616,44729,268286
617,44729,267422
618,58267,266558
619,58267,266434
620,58267,266408
621,58267,266408
622,58267,266408
623,58267,266275
624,58267,264562
625,58267,264224
626,58267,263962
627,58267,263869
628,58267,263788
629,58267,263583
630,58267,263309
631,52563,263137
632,52563,262987
633,52503,262962
634,52443,262962
635,52383,262962
636,52363,262962
637,52363,262962
638,52363,262827
639,52363,262711
640,52363,262355
641,52363,262355
642,52363,262355
643,52363,262355
644,52363,262355
645,52363,262355
646,52363,255463
647,52363,255463
648,52363,255463
649,52363,255463
650,52363,255373
651,52363,255264
652,52363,255155
653,52363,255023
654,52363,255023
655,52363,255023
656,52363,254928
657,52363,254833
658,52363,254738
659,52363,254643
660,52363,254548
661,52363,254353
662,52079,254258
663,52079,254103
664,52079,253973
665,51984,253315
666,51889,253255
667,51839,253195
668,51839,253185
669,51839,253185
670,51839,252886
671,51839,252886
672,51839,252886
673,51839,252886
674,51839,252886
675,51839,252886
676,51839,252696
677,51839,252524
678,51839,252446
679,51839,252446
680,51758,252446
681,51677,252446
682,50711,252446
683,50630,252446
684,50549,252446
685,50468,252446
686,50387,252446
687,50306,252446
688,50225,252446
689,50009,252386
690,49944,252336
691,49944,252336
692,49944,252336
693,49944,252336
694,49944,252336
695,49944,252336
696,49944,252336
697,49944,252336
698,49944,252336
699,49944,252336
700,49944,252336
701,49944,252336
702,49944,252336
703,49944,252336
704,49944,252201
705,49944,252096
706,49944,251961
707,49944,251826
708,49944,251691
709,49944,251605
710,49944,251524
711,49944,251506
712,49944,251506
713,49944,251506
714,49944,251506
715,49944,251506
716,49944,251506
717,49944,251506
718,49944,251506
719,49944,251506
720,49944,251506
721,49944,251374
722,49944,251242
723,49944,251186
724,49944,251186
725,49944,251186
726,49944,251186
727,49944,251186
728,49944,251186
729,49944,251186
730,49944,251186
731,49944,251186
732,49944,251186
733,49944,251186
734,49944,251186
735,49944,251186
736,49944,251186
737,49944,251186
738,49944,251186
739,49944,251186
740,49944,251186
741,49944,251186
742,49944,251186
743,49944,251186
744,49944,251186
745,49944,251186
746,49944,251186
747,49944,251186
748,49944,251186
749,49944,251186
750,49944,251186
751,49944,251186
752,49944,251186
753,49944,251186
754,49944,251186
755,49944,251186
756,49944,251186
757,49944,251186
758,49944,251186
759,49944,251186
760,49944,251186
761,49944,251186
762,49944,319905
763,49944,319905
764,49944,319905
765,49944,319905
766,49944,319905
767,49944,319905
768,49944,319824
769,49944,318891
770,49944,318891
771,49944,318891
772,49944,318891
773,49944,318891
774,49944,318782
775,49944,316812
776,49944,316723
777,49944,316588
778,49137,316287
779,49137,316287
780,49137,316287
781,49137,316227
782,49137,316053
783,49137,315848
784,49137,314447
785,49137,307436
786,49137,307419
787,49137,307284
788,49137,307109
789,49137,306950
790,49137,306841
791,49137,306732
792,49137,306503
793,49137,306394
794,49137,306285
795,49056,306099
796,48975,306099
797,48894,306099
798,48813,306099
799,48732,306099
800,48651,306099
801,48570,306099
802,48489,306099
803,48408,306099
804,48327,306099
805,48246,306099
806,48165,306099
807,47871,306099
808,47871,306018
809,47871,305937
810,47871,305919
811,47871,305919
812,47871,305919
813,47871,305919
814,47871,305919
815,45420,305919
816,45339,305919
817,45258,305919
818,45190,305784
819,45190,305649
820,45190,305514
821,16197,305439
822,16197,305298
823,16197,305207
824,170425,305126
825,170425,304746
826,170425,304665
827,170425,304584
828,170425,304503
829,170425,304422
830,170425,304341
831,170425,304260
832,170292,304240
833,170159,304240
834,170026,304240
835,169893,304240
836,169760,304240
837,169627,304240
838,169494,304240
839,169445,304240
840,169445,304240
841,169445,304240
842,169445,304240
843,169445,304240
844,169445,304240
845,169445,304240
846,169445,304240
847,169445,304240
848,169445,304240
849,166994,304240
850,166994,304240
851,166994,304240
852,166994,304240
853,166994,304240
854,166994,304240
855,166994,304240
856,166994,304240
857,160688,304240
858,160688,304240
859,160688,304240
860,160588,304240
861,160588,304240
862,160588,304240
863,160588,304240
864,160588,304165
865,160464,304090
866,160340,304015
867,160216,303940
868,160092,303870
869,160038,303870
870,160038,303870
871,160038,303870
872,160038,303870
873,160038,303870
874,160038,303870
875,160038,303870
876,160038,303870
877,160038,303870
878,160038,303870
879,160038,303870
880,160038,303870
881,160038,303870
882,160038,303870
883,160038,303870
884,160038,303870
885,157355,303870
886,157355,303870
887,157355,303870
888,157223,303870
889,157105,303870
890,157105,303870
891,157105,383046
892,155382,383046
893,155382,383046
894,155382,383046
895,155382,383046
896,155382,383046
897,155382,383046
898,155382,383046
899,155382,383046
900,155382,383046
901,155382,383046
902,155382,383046
903,155382,383046
904,155382,383046
905,155382,383046
906,155382,383046
907,155382,383046
908,155382,383046
909,155382,383046
910,155382,383046
911,155382,383046
912,155382,383046
913,155382,383046
914,155382,383046
915,155382,383046
916,155382,383046
917,155083,383046
918,155083,383046
919,155023,383046
920,154963,383046
921,154903,383046
922,154843,383046
923,154783,383046
924,154723,383046
925,154663,383046
926,154613,383046
927,154613,383046
928,154613,383046
929,154613,383046
930,154613,383046
931,154613,383046
932,154613,383046
933,154613,383046
934,154613,383046
935,154613,383046
936,154613,383046
937,154613,383046
938,154613,383046
939,154613,383046
940,154613,383046
941,154613,383046
942,154613,383046
943,154613,383046
944,154613,383046
945,154613,383046
946,154613,383046
947,154613,383046
948,154613,383046
949,154613,383046
950,154613,383046
951,154613,383046
952,154613,383046
953,154613,383046
954,154613,383046
955,154613,383046
956,154613,383046
957,154613,383046
958,154613,383046
959,154613,383046
960,154613,383046
961,154613,383046
962,154613,383046
963,154613,383046
964,154613,383046
965,154613,383046
966,154613,383046
967,154613,383046
968,154613,383046
969,154613,383046
970,154613,383046
971,154613,383046
972,154613,383046
973,154613,383046
974,154613,383046
975,154613,383046
976,154613,383046
